urutan,kata_kunci,bidang,sub_bidang,bidang_pembidangan,catatan
104,PROYEK,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
105,PERTANAHAN,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,
106,ROW,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,right of way
110,AKUNTANSI,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,
111,KEUANGAN,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,
112,ANGGARAN,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,
113,PAJAK,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,
114,PERBENDAHARAAN,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,
115,VERIFIKASI,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,
116,PENDANAAN,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,
117,INVESTASI,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,
120,HUMAN CAPITAL,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
121,TALENTA,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
122,HUBUNGAN INDUSTRIAL,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
123,REMUNERASI,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
124,KEPEGAWAIAN,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
125,PEMBELAJARAN,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
126,PENDIDIKAN DAN PELATIHAN,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
127,ORGANISASI,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
128,KESEJAHTERAAN,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,
130,PELAYANAN PELANGGAN,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,
131,LAYANAN PELANGGAN,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,
132,NIAGA,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,
133,PEMASARAN,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,
134,SALES,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,
135,PENAGIHAN,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,
136,PENJUALAN,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,
137,PELANGGAN,NON-TEKNIK,Niaga dan Pemasaran,Niaga dan Pemasaran,residual pelanggan
200,TEKNOLOGI INFORMASI,NON-TEKNIK,Teknologi Informasi,Sumber Daya Manusia,fungsi korporat; pembidangan didekatkan ke SDM
201,DIGITAL,NON-TEKNIK,Teknologi Informasi,Sumber Daya Manusia,
202,APLIKASI,NON-TEKNIK,Teknologi Informasi,Sumber Daya Manusia,
203,DATA,NON-TEKNIK,Teknologi Informasi,Sumber Daya Manusia,
210,HUKUM,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,
211,KEPATUHAN,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,
212,LEGAL,NON-TEKNIK,Hukum dan Kepatuhan,Keuangan dan Akuntansi,
220,AUDIT,NON-TEKNIK,Audit dan Risiko,Keuangan dan Akuntansi,
221,RISIKO,NON-TEKNIK,Audit dan Risiko,Keuangan dan Akuntansi,
222,PENGAWASAN INTERN,NON-TEKNIK,Audit dan Risiko,Keuangan dan Akuntansi,
230,KESELAMATAN,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,
231,KESEHATAN KERJA,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,
232,LINGKUNGAN,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,
233,KEAMANAN,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,
234,ESG,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,
240,KOMUNIKASI,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,
241,TJSL,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,
242,SEKRETARIAT,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,
243,ADMINISTRASI,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,
244,UMUM,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,
245,FASILITAS,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,
250,ASET,NON-TEKNIK,Perencanaan dan Kinerja,Keuangan dan Akuntansi,
251,KINERJA,NON-TEKNIK,Perencanaan dan Kinerja,Keuangan dan Akuntansi,
252,PERENCANAAN,NON-TEKNIK,Perencanaan dan Kinerja,Keuangan dan Akuntansi,
253,PENGENDALIAN,NON-TEKNIK,Perencanaan dan Kinerja,Keuangan dan Akuntansi,
254,MANAJEMEN,NON-TEKNIK,Perencanaan dan Kinerja,Keuangan dan Akuntansi,
255,PENGELOLAAN,NON-TEKNIK,Perencanaan dan Kinerja,Keuangan dan Akuntansi,
256,PENGEMBANGAN,NON-TEKNIK,Perencanaan dan Kinerja,Keuangan dan Akuntansi,
