candidate_id,batch_id,tahap_seleksi,start_date,end_date,status
C00014,B092,Tes TPA,2026-09-16,2026-09-17,Pass
C00014,B092,Tes English,2026-09-21,2026-09-22,Completed - Waiting Announcement
C00015,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00016,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00016,B090,Tes Akademik,2026-01-17,2026-01-18,Pass
C00016,B090,Tes TPA,2026-01-25,2026-01-26,Pass
C00016,B090,Tes English,2026-02-02,2026-02-03,Pass
C00016,B090,Tes Kesehatan,2026-02-08,2026-02-09,Pass
C00016,B090,Wawancara HR,2026-02-15,2026-02-16,Pass
C00017,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00017,B091,Tes Akademik,2026-05-11,2026-05-12,Pass
C00017,B091,Tes TPA,2026-05-17,2026-05-18,Pass
C00017,B091,Tes English,2026-05-22,2026-05-23,Pass
C00017,B091,Tes Kesehatan,2026-05-27,2026-05-28,Pass
C00017,B091,Wawancara HR,2026-06-02,2026-06-03,Pass
C00018,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00018,B092,Tes Akademik,2026-09-13,2026-09-14,Pass
C00018,B092,Tes TPA,2026-09-18,2026-09-19,Pass
C00018,B092,Tes English,2026-09-23,2026-09-24,Completed - Waiting Announcement
C00019,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00019,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00019,B092,Tes TPA,2026-09-20,2026-09-21,Pass
C00019,B092,Tes English,2026-09-25,2026-09-26,Completed - Waiting Announcement
C00020,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00020,B091,Tes Akademik,2026-05-11,2026-05-12,Pass
C00020,B091,Tes TPA,2026-05-16,2026-05-17,Pass
C00020,B091,Tes English,2026-05-23,2026-05-24,Pass
C00020,B091,Tes Kesehatan,2026-05-29,2026-05-30,Pass
C00020,B091,Wawancara HR,2026-06-04,2026-06-05,Pass
C00021,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00022,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00022,B090,Tes Akademik,2026-01-17,2026-01-18,Pass
C00022,B090,Tes TPA,2026-01-24,2026-01-25,Pass
C00022,B090,Tes English,2026-01-30,2026-01-31,Pass
C00022,B090,Tes Kesehatan,2026-02-04,2026-02-05,Pass
C00022,B090,Wawancara HR,2026-02-12,2026-02-13,Pass
C00023,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Fail
C00024,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00024,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00024,B092,Tes TPA,2026-09-20,2026-09-21,Pass
C00024,B092,Tes English,2026-09-26,2026-09-27,Completed - Waiting Announcement
C00025,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00025,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00025,B092,Tes TPA,2026-09-20,2026-09-21,Pass
C00025,B092,Tes English,2026-09-26,2026-09-27,Completed - Waiting Announcement
C00026,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00026,B091,Tes Akademik,2026-05-11,2026-05-12,Fail
C00027,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00028,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00029,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00029,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00029,B092,Tes TPA,2026-09-18,2026-09-19,Pass
C00029,B092,Tes English,2026-09-26,2026-09-27,Completed - Waiting Announcement
C00030,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00030,B090,Tes Akademik,2026-01-15,2026-01-16,Pass
C00030,B090,Tes TPA,2026-01-23,2026-01-24,Pass
C00030,B090,Tes English,2026-01-31,2026-02-01,Pass
C00030,B090,Tes Kesehatan,2026-02-05,2026-02-06,Pass
C00030,B090,Wawancara HR,2026-02-10,2026-02-11,Fail
C00031,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00032,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00032,B090,Tes Akademik,2026-01-16,2026-01-17,Pass
C00032,B090,Tes TPA,2026-01-24,2026-01-25,Pass
C00032,B090,Tes English,2026-01-30,2026-01-31,Pass
C00032,B090,Tes Kesehatan,2026-02-05,2026-02-06,Pass
C00032,B090,Wawancara HR,2026-02-10,2026-02-11,Pass
C00033,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00033,B091,Tes Akademik,2026-05-10,2026-05-11,Pass
C00033,B091,Tes TPA,2026-05-16,2026-05-17,Fail
C00034,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00034,B092,Tes Akademik,2026-09-13,2026-09-14,Pass
C00034,B092,Tes TPA,2026-09-19,2026-09-20,Pass
C00034,B092,Tes English,2026-09-27,2026-09-28,Completed - Waiting Announcement
C00035,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00035,B091,Tes Akademik,2026-05-13,2026-05-14,Pass
C00035,B091,Tes TPA,2026-05-21,2026-05-22,Pass
C00035,B091,Tes English,2026-05-28,2026-05-29,Pass
C00035,B091,Tes Kesehatan,2026-06-02,2026-06-03,Pass
C00035,B091,Wawancara HR,2026-06-07,2026-06-08,Pass
C00036,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00036,B092,Tes Akademik,2026-09-11,2026-09-12,Fail
C00037,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00037,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00037,B092,Tes TPA,2026-09-16,2026-09-17,Pass
C00037,B092,Tes English,2026-09-22,2026-09-23,Completed - Waiting Announcement
C00038,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00038,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00038,B092,Tes TPA,2026-09-18,2026-09-19,Pass
C00038,B092,Tes English,2026-09-25,2026-09-26,Completed - Waiting Announcement
C00039,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00039,B091,Tes Akademik,2026-05-12,2026-05-13,Pass
C00039,B091,Tes TPA,2026-05-17,2026-05-18,Pass
C00039,B091,Tes English,2026-05-22,2026-05-23,Pass
C00039,B091,Tes Kesehatan,2026-05-28,2026-05-29,Pass
C00039,B091,Wawancara HR,2026-06-03,2026-06-04,Pass
C00040,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00041,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00042,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00043,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00043,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00043,B092,Tes TPA,2026-09-17,2026-09-18,Pass
C00043,B092,Tes English,2026-09-22,2026-09-23,Completed - Waiting Announcement
C00044,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00044,B090,Tes Akademik,2026-01-15,2026-01-16,Pass
C00044,B090,Tes TPA,2026-01-21,2026-01-22,Fail
C00045,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00045,B090,Tes Akademik,2026-01-16,2026-01-17,Pass
C00045,B090,Tes TPA,2026-01-23,2026-01-24,Pass
C00045,B090,Tes English,2026-01-30,2026-01-31,Pass
C00045,B090,Tes Kesehatan,2026-02-04,2026-02-05,Pass
C00045,B090,Wawancara HR,2026-02-12,2026-02-13,Pass
C00046,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00046,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00046,B092,Tes TPA,2026-09-20,2026-09-21,Pass
C00046,B092,Tes English,2026-09-28,2026-09-29,Completed - Waiting Announcement
C00047,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00047,B092,Tes Akademik,2026-09-11,2026-09-12,Pass
C00047,B092,Tes TPA,2026-09-18,2026-09-19,Pass
C00047,B092,Tes English,2026-09-24,2026-09-25,Completed - Waiting Announcement
C00048,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00048,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00048,B092,Tes TPA,2026-09-16,2026-09-17,Pass
C00048,B092,Tes English,2026-09-21,2026-09-22,Completed - Waiting Announcement
C00049,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00050,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00051,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00051,B092,Tes Akademik,2026-09-11,2026-09-12,Pass
C00051,B092,Tes TPA,2026-09-17,2026-09-18,Pass
C00051,B092,Tes English,2026-09-22,2026-09-23,Completed - Waiting Announcement
C00052,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00052,B091,Tes Akademik,2026-05-13,2026-05-14,Pass
C00052,B091,Tes TPA,2026-05-19,2026-05-20,Pass
C00052,B091,Tes English,2026-05-24,2026-05-25,Pass
C00052,B091,Tes Kesehatan,2026-05-29,2026-05-30,Pass
C00052,B091,Wawancara HR,2026-06-04,2026-06-05,Pass
C00053,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00053,B091,Tes Akademik,2026-05-11,2026-05-12,Fail
C00054,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00054,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00054,B092,Tes TPA,2026-09-19,2026-09-20,Pass
C00054,B092,Tes English,2026-09-27,2026-09-28,Completed - Waiting Announcement
C00055,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00055,B090,Tes Akademik,2026-01-15,2026-01-16,Pass
C00055,B090,Tes TPA,2026-01-22,2026-01-23,Pass
C00055,B090,Tes English,2026-01-29,2026-01-30,Pass
C00055,B090,Tes Kesehatan,2026-02-06,2026-02-07,Pass
C00055,B090,Wawancara HR,2026-02-13,2026-02-14,Pass
C00056,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00056,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00056,B092,Tes TPA,2026-09-20,2026-09-21,Pass
C00056,B092,Tes English,2026-09-26,2026-09-27,Completed - Waiting Announcement
C00057,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Fail
C00058,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00059,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00059,B090,Tes Akademik,2026-01-15,2026-01-16,Pass
C00059,B090,Tes TPA,2026-01-22,2026-01-23,Pass
C00059,B090,Tes English,2026-01-30,2026-01-31,Pass
C00059,B090,Tes Kesehatan,2026-02-06,2026-02-07,Pass
C00059,B090,Wawancara HR,2026-02-12,2026-02-13,Pass
C00060,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Fail
C00061,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00061,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00061,B092,Tes TPA,2026-09-17,2026-09-18,Pass
C00061,B092,Tes English,2026-09-23,2026-09-24,Completed - Waiting Announcement
C00062,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00062,B090,Tes Akademik,2026-01-18,2026-01-19,Pass
C00062,B090,Tes TPA,2026-01-24,2026-01-25,Pass
C00062,B090,Tes English,2026-01-30,2026-01-31,Pass
C00062,B090,Tes Kesehatan,2026-02-06,2026-02-07,Pass
C00062,B090,Wawancara HR,2026-02-13,2026-02-14,Pass
C00063,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00064,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00064,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00064,B092,Tes TPA,2026-09-18,2026-09-19,Pass
C00064,B092,Tes English,2026-09-23,2026-09-24,Completed - Waiting Announcement
C00065,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00065,B092,Tes Akademik,2026-09-13,2026-09-14,Pass
C00065,B092,Tes TPA,2026-09-19,2026-09-20,Pass
C00065,B092,Tes English,2026-09-24,2026-09-25,Completed - Waiting Announcement
C00066,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00066,B092,Tes Akademik,2026-09-13,2026-09-14,Pass
C00066,B092,Tes TPA,2026-09-21,2026-09-22,Pass
C00066,B092,Tes English,2026-09-27,2026-09-28,Completed - Waiting Announcement
C00067,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00067,B090,Tes Akademik,2026-01-18,2026-01-19,Pass
C00067,B090,Tes TPA,2026-01-25,2026-01-26,Pass
C00067,B090,Tes English,2026-02-02,2026-02-03,Pass
C00067,B090,Tes Kesehatan,2026-02-10,2026-02-11,Pass
C00067,B090,Wawancara HR,2026-02-18,2026-02-19,Pass
C00068,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Fail
C00069,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00069,B091,Tes Akademik,2026-05-12,2026-05-13,Pass
C00069,B091,Tes TPA,2026-05-20,2026-05-21,Pass
C00069,B091,Tes English,2026-05-27,2026-05-28,Pass
C00069,B091,Tes Kesehatan,2026-06-03,2026-06-04,Pass
C00069,B091,Wawancara HR,2026-06-10,2026-06-11,Pass
C00070,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00070,B092,Tes Akademik,2026-09-11,2026-09-12,Pass
C00070,B092,Tes TPA,2026-09-16,2026-09-17,Pass
C00070,B092,Tes English,2026-09-23,2026-09-24,Completed - Waiting Announcement
C00071,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00071,B091,Tes Akademik,2026-05-13,2026-05-14,Pass
C00071,B091,Tes TPA,2026-05-18,2026-05-19,Pass
C00071,B091,Tes English,2026-05-26,2026-05-27,Pass
C00071,B091,Tes Kesehatan,2026-06-02,2026-06-03,Pass
C00071,B091,Wawancara HR,2026-06-10,2026-06-11,Pass
C00072,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00072,B091,Tes Akademik,2026-05-11,2026-05-12,Pass
C00072,B091,Tes TPA,2026-05-18,2026-05-19,Pass
C00072,B091,Tes English,2026-05-23,2026-05-24,Pass
C00072,B091,Tes Kesehatan,2026-05-31,2026-06-01,Pass
C00072,B091,Wawancara HR,2026-06-08,2026-06-09,Pass
C00073,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00074,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00074,B091,Tes Akademik,2026-05-10,2026-05-11,Pass
C00074,B091,Tes TPA,2026-05-16,2026-05-17,Pass
C00074,B091,Tes English,2026-05-22,2026-05-23,Pass
C00074,B091,Tes Kesehatan,2026-05-30,2026-05-31,Pass
C00074,B091,Wawancara HR,2026-06-07,2026-06-08,Pass
C00075,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00075,B090,Tes Akademik,2026-01-18,2026-01-19,Fail
C00076,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Fail
C00077,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00078,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00078,B090,Tes Akademik,2026-01-15,2026-01-16,Pass
C00078,B090,Tes TPA,2026-01-20,2026-01-21,Pass
C00078,B090,Tes English,2026-01-26,2026-01-27,Pass
C00078,B090,Tes Kesehatan,2026-01-31,2026-02-01,Pass
C00078,B090,Wawancara HR,2026-02-06,2026-02-07,Pass
C00079,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00079,B091,Tes Akademik,2026-05-12,2026-05-13,Pass
C00079,B091,Tes TPA,2026-05-18,2026-05-19,Pass
C00079,B091,Tes English,2026-05-23,2026-05-24,Pass
C00079,B091,Tes Kesehatan,2026-05-29,2026-05-30,Pass
C00079,B091,Wawancara HR,2026-06-03,2026-06-04,Pass
C00080,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00080,B092,Tes Akademik,2026-09-13,2026-09-14,Pass
C00080,B092,Tes TPA,2026-09-19,2026-09-20,Pass
C00080,B092,Tes English,2026-09-25,2026-09-26,Completed - Waiting Announcement
C00081,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00082,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00083,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00083,B091,Tes Akademik,2026-05-10,2026-05-11,Pass
C00083,B091,Tes TPA,2026-05-18,2026-05-19,Pass
C00083,B091,Tes English,2026-05-23,2026-05-24,Pass
C00083,B091,Tes Kesehatan,2026-05-30,2026-05-31,Fail
C00084,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00084,B090,Tes Akademik,2026-01-18,2026-01-19,Pass
C00084,B090,Tes TPA,2026-01-26,2026-01-27,Pass
C00084,B090,Tes English,2026-02-03,2026-02-04,Fail
C00085,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00085,B091,Tes Akademik,2026-05-13,2026-05-14,Pass
C00085,B091,Tes TPA,2026-05-20,2026-05-21,Pass
C00085,B091,Tes English,2026-05-26,2026-05-27,Pass
C00085,B091,Tes Kesehatan,2026-05-31,2026-06-01,Pass
C00085,B091,Wawancara HR,2026-06-08,2026-06-09,Pass
C00086,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00086,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00086,B092,Tes TPA,2026-09-19,2026-09-20,Pass
C00086,B092,Tes English,2026-09-25,2026-09-26,Completed - Waiting Announcement
C00087,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00087,B090,Tes Akademik,2026-01-17,2026-01-18,Pass
C00087,B090,Tes TPA,2026-01-23,2026-01-24,Pass
C00087,B090,Tes English,2026-01-31,2026-02-01,Pass
C00087,B090,Tes Kesehatan,2026-02-06,2026-02-07,Pass
C00087,B090,Wawancara HR,2026-02-14,2026-02-15,Pass
C00088,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00088,B092,Tes Akademik,2026-09-11,2026-09-12,Fail
C00089,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00089,B092,Tes Akademik,2026-09-12,2026-09-13,Pass
C00089,B092,Tes TPA,2026-09-19,2026-09-20,Pass
C00089,B092,Tes English,2026-09-27,2026-09-28,Completed - Waiting Announcement
C00090,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00090,B090,Tes Akademik,2026-01-16,2026-01-17,Fail
C00091,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00091,B092,Tes Akademik,2026-09-11,2026-09-12,Fail
C00092,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00092,B090,Tes Akademik,2026-01-17,2026-01-18,Pass
C00092,B090,Tes TPA,2026-01-23,2026-01-24,Pass
C00092,B090,Tes English,2026-01-30,2026-01-31,Pass
C00092,B090,Tes Kesehatan,2026-02-04,2026-02-05,Pass
C00092,B090,Wawancara HR,2026-02-10,2026-02-11,Pass
C00093,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00093,B091,Tes Akademik,2026-05-11,2026-05-12,Pass
C00093,B091,Tes TPA,2026-05-19,2026-05-20,Pass
C00093,B091,Tes English,2026-05-24,2026-05-25,Pass
C00093,B091,Tes Kesehatan,2026-06-01,2026-06-02,Pass
C00093,B091,Wawancara HR,2026-06-08,2026-06-09,Pass
C00094,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00094,B091,Tes Akademik,2026-05-10,2026-05-11,Pass
C00094,B091,Tes TPA,2026-05-18,2026-05-19,Pass
C00094,B091,Tes English,2026-05-23,2026-05-24,Fail
C00095,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00095,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00095,B092,Tes TPA,2026-09-15,2026-09-16,Pass
C00095,B092,Tes English,2026-09-23,2026-09-24,Completed - Waiting Announcement
C00096,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00096,B092,Tes Akademik,2026-09-13,2026-09-14,Pass
C00096,B092,Tes TPA,2026-09-21,2026-09-22,Pass
C00096,B092,Tes English,2026-09-29,2026-09-30,Completed - Waiting Announcement
C00097,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00097,B091,Tes Akademik,2026-05-10,2026-05-11,Pass
C00097,B091,Tes TPA,2026-05-16,2026-05-17,Pass
C00097,B091,Tes English,2026-05-23,2026-05-24,Pass
C00097,B091,Tes Kesehatan,2026-05-29,2026-05-30,Pass
C00097,B091,Wawancara HR,2026-06-03,2026-06-04,Pass
C00098,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00098,B090,Tes Akademik,2026-01-17,2026-01-18,Fail
C00099,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Fail
C00100,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00101,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Fail
C00102,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00102,B091,Tes Akademik,2026-05-11,2026-05-12,Fail
C00103,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00103,B091,Tes Akademik,2026-05-12,2026-05-13,Pass
C00103,B091,Tes TPA,2026-05-17,2026-05-18,Fail
C00104,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00105,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00105,B090,Tes Akademik,2026-01-17,2026-01-18,Pass
C00105,B090,Tes TPA,2026-01-25,2026-01-26,Pass
C00105,B090,Tes English,2026-02-02,2026-02-03,Pass
C00105,B090,Tes Kesehatan,2026-02-10,2026-02-11,Pass
C00105,B090,Wawancara HR,2026-02-15,2026-02-16,Pass
C00106,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Fail
C00107,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00108,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00108,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00108,B092,Tes TPA,2026-09-17,2026-09-18,Pass
C00108,B092,Tes English,2026-09-23,2026-09-24,Completed - Waiting Announcement
C00109,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00109,B090,Tes Akademik,2026-01-16,2026-01-17,Pass
C00109,B090,Tes TPA,2026-01-24,2026-01-25,Pass
C00109,B090,Tes English,2026-02-01,2026-02-02,Pass
C00109,B090,Tes Kesehatan,2026-02-09,2026-02-10,Pass
C00109,B090,Wawancara HR,2026-02-16,2026-02-17,Fail
C00110,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00110,B090,Tes Akademik,2026-01-18,2026-01-19,Pass
C00110,B090,Tes TPA,2026-01-25,2026-01-26,Pass
C00110,B090,Tes English,2026-02-02,2026-02-03,Pass
C00110,B090,Tes Kesehatan,2026-02-07,2026-02-08,Pass
C00110,B090,Wawancara HR,2026-02-14,2026-02-15,Fail
C00111,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Fail
C00112,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00112,B092,Tes Akademik,2026-09-10,2026-09-11,Pass
C00112,B092,Tes TPA,2026-09-18,2026-09-19,Pass
C00112,B092,Tes English,2026-09-24,2026-09-25,Completed - Waiting Announcement
C00113,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00113,B091,Tes Akademik,2026-05-13,2026-05-14,Pass
C00113,B091,Tes TPA,2026-05-19,2026-05-20,Pass
C00113,B091,Tes English,2026-05-25,2026-05-26,Pass
C00113,B091,Tes Kesehatan,2026-06-02,2026-06-03,Pass
C00113,B091,Wawancara HR,2026-06-10,2026-06-11,Pass
C00114,B090,Berkas & Administrasi,2026-01-10,2026-01-11,Pass
C00114,B090,Tes Akademik,2026-01-15,2026-01-16,Pass
C00114,B090,Tes TPA,2026-01-20,2026-01-21,Pass
C00114,B090,Tes English,2026-01-25,2026-01-26,Pass
C00114,B090,Tes Kesehatan,2026-01-30,2026-01-31,Pass
C00114,B090,Wawancara HR,2026-02-05,2026-02-06,Pass
C00115,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00115,B092,Tes Akademik,2026-09-13,2026-09-14,Pass
C00115,B092,Tes TPA,2026-09-19,2026-09-20,Pass
C00115,B092,Tes English,2026-09-25,2026-09-26,Completed - Waiting Announcement
C00116,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00116,B091,Tes Akademik,2026-05-11,2026-05-12,Pass
C00116,B091,Tes TPA,2026-05-18,2026-05-19,Pass
C00116,B091,Tes English,2026-05-26,2026-05-27,Pass
C00116,B091,Tes Kesehatan,2026-06-02,2026-06-03,Pass
C00116,B091,Wawancara HR,2026-06-09,2026-06-10,Pass
C00117,B092,Berkas & Administrasi,2026-09-05,2026-09-06,Pass
C00117,B092,Tes Akademik,2026-09-13,2026-09-14,Pass
C00117,B092,Tes TPA,2026-09-21,2026-09-22,Pass
C00117,B092,Tes English,2026-09-28,2026-09-29,Completed - Waiting Announcement
C00118,B091,Berkas & Administrasi,2026-05-05,2026-05-06,Pass
C00118,B091,Tes Akademik,2026-05-13,2026-05-14,Pass
C00118,B091,Tes TPA,2026-05-21,2026-05-22,Pass
C00118,B091,Tes English,2026-05-29,2026-05-30,Pass
