candidate_id,batch_id,request_id,job_position,job_category,prajabatan_batch,ojt_start_date,ojt_end_date,unit_placement,region,mentor,ojt_status,employment_status
C00281,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 69,On Going,On OJT
C00282,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 17,On Going,On OJT
C00283,B090,REQ0007,HR Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 71,Completed,Permanent
C00285,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 68,Completed,Permanent
C00286,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 55,On Going,On OJT
C00288,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 70,On Going,On OJT
C00292,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 26,On Going,On OJT
C00295,B090,REQ0007,HR Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 52,Completed,Permanent
C00298,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 48,Resigned,Candidate Withdrawn
C00302,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 67,Completed,Permanent
C00303,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 32,Completed,Permanent
C00304,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 44,Completed,Permanent
C00305,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 71,Completed,Permanent
C00306,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 29,Completed,Permanent
C00307,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 8,Completed,Permanent
C00314,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 5,Completed,Permanent
C00315,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 10,On Going,On OJT
C00316,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 36,Completed,Permanent
C00319,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 28,Completed,Permanent
C00323,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 74,Completed,Permanent
C00326,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 32,Completed,Permanent
C00327,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 53,On Going,On OJT
C00328,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 13,Completed,Permanent
C00329,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 46,Completed,Permanent
C00330,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 60,Completed,Permanent
C00332,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 7,On Going,On OJT
C00334,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 13,Completed,Permanent
C00335,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 44,Completed,Permanent
C00337,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 14,On Going,On OJT
C00339,B091,REQ0019,Supply Chain Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Timur,Jawa,Mentor 25,Completed,Permanent
C00342,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 18,Completed,Permanent
C00351,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 36,Completed,Permanent
C00354,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 10,Completed,Permanent
C00356,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 71,Completed,Permanent
C00358,B090,REQ0007,HR Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 70,Completed,Permanent
C00365,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 12,On Going,On OJT
C00367,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 31,On Going,On OJT
C00368,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 63,Completed,Permanent
C00373,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 52,Completed,Permanent
C00377,B091,REQ0011,Electrical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 22,On Going,On OJT
C00381,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 50,Completed,Permanent
C00396,B091,REQ0011,Electrical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 59,Completed,Permanent
C00400,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 72,Completed,Permanent
C00401,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 63,Completed,Permanent
C00402,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 38,Completed,Permanent
C00403,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 8,Completed,Permanent
C00406,B091,REQ0019,Supply Chain Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Timur,Jawa,Mentor 70,Completed,Permanent
C00412,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 41,Completed,Permanent
C00414,B091,REQ0011,Electrical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 75,Completed,Permanent
C00416,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 68,Completed,Permanent
C00417,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 66,Completed,Permanent
C00419,B090,REQ0001,Electrical Engineer,Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 24,Completed,Permanent
C00421,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 9,Completed,Permanent
C00422,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 31,Completed,Permanent
C00423,B091,REQ0011,Electrical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 73,Completed,Permanent
C00424,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 77,Completed,Permanent
C00425,B090,REQ0007,HR Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 11,Completed,Permanent
C00426,B090,REQ0001,Electrical Engineer,Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 75,Completed,Permanent
C00429,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 41,Completed,Permanent
C00431,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 27,On Going,On OJT
C00444,B090,REQ0007,HR Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 41,Completed,Permanent
C00458,B090,REQ0009,Supply Chain Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Timur,Jawa,Mentor 51,Completed,Permanent
C00459,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 39,Completed,Permanent
C00460,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 10,Completed,Permanent
C00461,B091,REQ0011,Electrical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 80,Completed,Permanent
C00464,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 13,Resigned,Candidate Withdrawn
C00467,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 28,Completed,Permanent
C00468,B090,REQ0007,HR Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 17,Completed,Permanent
C00470,B090,REQ0001,Electrical Engineer,Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 9,On Going,On OJT
C00472,B090,REQ0009,Supply Chain Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Timur,Jawa,Mentor 48,On Going,On OJT
C00473,B090,REQ0006,Finance Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 57,Completed,Permanent
C00476,B090,REQ0007,HR Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 39,On Going,On OJT
C00478,B091,REQ0011,Electrical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 68,Completed,Permanent
C00480,B091,REQ0019,Supply Chain Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Timur,Jawa,Mentor 71,Completed,Permanent
C00487,B091,REQ0012,Mechanical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 14,Completed,Permanent
C00488,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 18,On Going,On OJT
C00495,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 14,Completed,Permanent
C00496,B090,REQ0001,Electrical Engineer,Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 20,Completed,Permanent
C00497,B091,REQ0011,Electrical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 78,Completed,Permanent
C00498,B091,REQ0016,Finance Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 44,Completed,Permanent
C00506,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 34,Completed,Permanent
C00507,B091,REQ0012,Mechanical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 33,Completed,Permanent
C00508,B091,REQ0017,HR Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 7,On Going,On OJT
C00510,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 55,Completed,Permanent
C00515,B091,REQ0011,Electrical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Barat,Jawa,Mentor 6,On Going,On OJT
C00516,B090,REQ0001,Electrical Engineer,Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 17,Completed,Permanent
C00519,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 34,Completed,Permanent
C00522,B090,REQ0001,Electrical Engineer,Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 57,Completed,Permanent
C00523,B091,REQ0012,Mechanical Engineer,Teknik,PJ-91,2026-07-01,2026-09-30,UID Jakarta Raya,Jawa,Mentor 55,Completed,Permanent
C00525,B090,REQ0009,Supply Chain Officer,Non-Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Timur,Jawa,Mentor 15,Completed,Permanent
C00526,B091,REQ0015,Operator Pembangkit,Teknik,PJ-91,2026-07-01,2026-09-30,UIP Sumatera,Sumatera,Mentor 20,Completed,Permanent
C00533,B090,REQ0002,Mechanical Engineer,Teknik,PJ-90,2026-03-01,2026-05-31,UID Jakarta Raya,Jawa,Mentor 48,Completed,Permanent
C00536,B091,REQ0019,Supply Chain Officer,Non-Teknik,PJ-91,2026-07-01,2026-09-30,UID Jawa Timur,Jawa,Mentor 19,Completed,Permanent
C00538,B090,REQ0005,Operator Pembangkit,Teknik,PJ-90,2026-03-01,2026-05-31,UIP Sumatera,Sumatera,Mentor 6,Completed,Permanent
C00541,B090,REQ0001,Electrical Engineer,Teknik,PJ-90,2026-03-01,2026-05-31,UID Jawa Barat,Jawa,Mentor 6,Completed,Permanent
