unit_induk,tahun,headcount,pensiun,mengundurkan_diri,meninggal_dunia,phk,kekosongan
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,2020,232,11.18,0.67,0.33,0.18,12.36
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,2021,232,8.21,0.74,0.37,0.2,9.52
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,2022,232,7.43,0.67,0.33,0.18,8.61
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,2023,227,6.68,0.59,0.29,0.16,7.72
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,2024,227,5.97,0.51,0.25,0.14,6.87
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,2025,227,5.83,0.52,0.26,0.14,6.75
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,2026,227,5.27,0.48,0.24,0.13,6.12
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),2019,433,43.66,1.55,0.77,0.43,46.41
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),2020,433,34.07,1.24,0.62,0.34,36.27
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),2021,433,25.02,1.39,0.69,0.38,27.48
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),2022,433,22.63,1.25,0.63,0.34,24.85
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),2023,430,20.37,1.11,0.56,0.31,22.35
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),2024,430,18.19,0.96,0.48,0.26,19.89
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),2025,430,17.78,0.99,0.5,0.27,19.54
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),2026,430,16.05,0.92,0.46,0.25,17.68
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,2019,98,12.09,0.35,0.18,0.1,12.72
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,2020,98,9.43,0.28,0.14,0.08,9.93
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,2021,98,6.93,0.31,0.16,0.09,7.49
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,2022,98,6.27,0.28,0.14,0.08,6.77
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,2023,98,5.64,0.25,0.13,0.07,6.09
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,2024,98,5.04,0.22,0.11,0.06,5.43
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,2025,98,4.92,0.23,0.11,0.06,5.32
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,2026,98,4.44,0.21,0.1,0.06,4.81
PT PLN (PERSERO) PUSAT SERTIFIKASI,2019,260,20.52,0.93,0.46,0.26,22.17
PT PLN (PERSERO) PUSAT SERTIFIKASI,2020,260,16.01,0.75,0.37,0.21,17.34
PT PLN (PERSERO) PUSAT SERTIFIKASI,2021,260,11.76,0.83,0.42,0.23,13.24
PT PLN (PERSERO) PUSAT SERTIFIKASI,2022,260,10.64,0.75,0.38,0.21,11.98
PT PLN (PERSERO) PUSAT SERTIFIKASI,2023,253,9.57,0.65,0.33,0.18,10.73
PT PLN (PERSERO) PUSAT SERTIFIKASI,2024,253,8.55,0.57,0.28,0.16,9.56
PT PLN (PERSERO) PUSAT SERTIFIKASI,2025,253,8.35,0.58,0.29,0.16,9.38
PT PLN (PERSERO) PUSAT SERTIFIKASI,2026,253,7.54,0.54,0.27,0.15,8.5
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,2019,798,40.26,2.85,1.43,0.78,45.32
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,2020,798,31.42,2.29,1.15,0.63,35.49
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,2021,798,23.07,2.56,1.28,0.7,27.61
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,2022,798,20.87,2.3,1.15,0.63,24.95
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,2023,796,18.78,2.06,1.03,0.57,22.44
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,2024,796,16.77,1.78,0.89,0.49,19.93
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,2025,796,16.39,1.84,0.92,0.51,19.66
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,2026,796,14.8,1.69,0.85,0.47,17.81
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,2019,551,35.65,1.97,0.98,0.54,39.14
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,2020,551,27.82,1.58,0.79,0.44,30.63
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,2021,551,20.43,1.77,0.88,0.49,23.57
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,2022,551,18.48,1.59,0.8,0.44,21.31
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,2023,551,16.63,1.42,0.71,0.39,19.15
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,2024,551,14.85,1.23,0.62,0.34,17.04
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,2025,551,14.51,1.27,0.64,0.35,16.77
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,2026,551,13.1,1.17,0.59,0.32,15.18
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,2019,777,43.74,2.78,1.39,0.76,48.67
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,2020,777,34.13,2.23,1.12,0.61,38.09
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,2021,777,25.06,2.49,1.25,0.69,29.49
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,2022,777,22.67,2.24,1.12,0.62,26.65
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,2023,772,20.41,1.99,1.0,0.55,23.95
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,2024,772,18.22,1.72,0.86,0.47,21.27
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,2025,772,17.81,1.78,0.89,0.49,20.97
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,2026,772,16.08,1.64,0.82,0.45,18.99
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,2019,1341,84.2,4.79,2.39,1.32,92.7
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,2020,1341,65.71,3.85,1.93,1.06,72.55
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,2021,1341,48.25,4.3,2.15,1.18,55.88
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,2022,1341,43.65,3.87,1.94,1.06,50.52
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,2023,1341,39.28,3.47,1.73,0.95,45.43
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,2024,1341,35.08,3.0,1.5,0.82,40.4
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,2025,1341,34.28,3.1,1.55,0.85,39.78
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,2026,1341,30.95,2.85,1.43,0.78,36.01
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,2019,2022,105.48,7.22,3.61,1.99,118.3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,2020,2022,82.31,5.81,2.9,1.6,92.62
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,2021,2022,60.44,6.48,3.24,1.78,71.94
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,2022,2022,54.68,5.84,2.92,1.61,65.05
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,2023,2020,49.21,5.22,2.61,1.44,58.48
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,2024,2020,43.94,4.51,2.26,1.24,51.95
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,2025,2020,42.95,4.67,2.33,1.28,51.23
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,2026,2020,38.77,4.3,2.15,1.18,46.4
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,2019,1643,91.97,5.87,2.93,1.61,102.38
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,2020,1643,71.77,4.72,2.36,1.3,80.15
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,2021,1643,52.7,5.27,2.63,1.45,62.05
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,2022,1643,47.68,4.74,2.37,1.3,56.09
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,2023,1643,42.91,4.25,2.12,1.17,50.45
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,2024,1643,38.31,3.67,1.84,1.01,44.83
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,2025,1643,37.45,3.8,1.9,1.04,44.19
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,2026,1643,33.81,3.5,1.75,0.96,40.02
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,2019,2054,123.43,7.34,3.67,2.02,136.46
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,2020,2054,96.33,5.9,2.95,1.62,106.8
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,2021,2054,70.73,6.59,3.29,1.81,82.42
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,2022,2054,63.99,5.93,2.97,1.63,74.52
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,2023,2052,57.59,5.3,2.65,1.46,67.0
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,2024,2052,51.42,4.58,2.29,1.26,59.55
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,2025,2052,50.26,4.74,2.37,1.3,58.67
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,2026,2052,45.37,4.37,2.18,1.2,53.12
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,2019,664,33.88,2.37,1.19,0.65,38.09
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,2020,664,26.44,1.91,0.95,0.52,29.82
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,2021,664,19.42,2.13,1.06,0.59,23.2
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,2022,664,17.56,1.92,0.96,0.53,20.97
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,2023,662,15.81,1.71,0.86,0.47,18.85
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,2024,662,14.11,1.48,0.74,0.41,16.74
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,2025,662,13.79,1.53,0.76,0.42,16.5
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,2026,662,12.45,1.41,0.7,0.39,14.95
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,2019,779,41.1,2.78,1.39,0.77,46.04
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,2020,779,32.08,2.24,1.12,0.62,36.06
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,2021,779,23.55,2.5,1.25,0.69,27.99
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,2022,779,21.31,2.25,1.12,0.62,25.3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,2023,775,19.18,2.0,1.0,0.55,22.73
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,2024,775,17.12,1.73,0.87,0.48,20.2
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,2025,775,16.74,1.79,0.9,0.49,19.92
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,2026,775,15.11,1.65,0.82,0.45,18.03
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,2019,691,30.46,2.47,1.23,0.68,34.84
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,2020,691,23.77,1.99,0.99,0.55,27.3
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,2021,691,17.45,2.22,1.11,0.61,21.39
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,2022,691,15.79,2.0,1.0,0.55,19.34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,2023,662,14.21,1.71,0.86,0.47,17.25
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,2024,662,12.69,1.48,0.74,0.41,15.32
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,2025,662,12.4,1.53,0.76,0.42,15.11
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,2026,662,11.2,1.41,0.7,0.39,13.7
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,2019,548,30.29,1.96,0.98,0.54,33.77
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,2020,548,23.64,1.57,0.79,0.43,26.43
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,2021,548,17.36,1.76,0.88,0.48,20.48
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,2022,548,15.7,1.58,0.79,0.44,18.51
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,2023,548,14.13,1.42,0.71,0.39,16.65
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,2024,548,12.62,1.22,0.61,0.34,14.79
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,2025,548,12.33,1.27,0.63,0.35,14.58
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,2026,548,11.13,1.17,0.58,0.32,13.2
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,2019,782,43.69,2.79,1.4,0.77,48.65
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,2020,782,34.09,2.25,1.12,0.62,38.08
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,2021,782,25.03,2.51,1.25,0.69,29.48
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,2022,782,22.65,2.26,1.13,0.62,26.66
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,2023,774,20.38,2.0,1.0,0.55,23.93
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,2024,774,18.2,1.73,0.86,0.48,21.27
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,2025,774,17.79,1.79,0.89,0.49,20.96
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,2026,774,16.06,1.65,0.82,0.45,18.98
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",2019,1376,58.18,4.91,2.46,1.35,66.9
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",2020,1376,45.4,3.95,1.98,1.09,52.42
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",2021,1376,33.34,4.41,2.21,1.21,41.17
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",2022,1376,30.16,3.97,1.99,1.09,37.21
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",2023,1365,27.14,3.53,1.76,0.97,33.4
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",2024,1365,24.24,3.05,1.52,0.84,29.65
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",2025,1365,23.69,3.15,1.58,0.87,29.29
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",2026,1365,21.38,2.9,1.45,0.8,26.53
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",2019,988,42.15,3.53,1.76,0.97,48.41
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",2020,988,32.89,2.84,1.42,0.78,37.93
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",2021,988,24.15,3.17,1.58,0.87,29.77
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",2022,988,21.85,2.85,1.43,0.78,26.91
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",2023,977,19.66,2.52,1.26,0.69,24.13
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",2024,977,17.56,2.18,1.09,0.6,21.43
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",2025,977,17.16,2.26,1.13,0.62,21.17
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",2026,977,15.49,2.08,1.04,0.57,19.18
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,2019,759,39.13,2.71,1.36,0.75,43.95
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,2020,759,30.54,2.18,1.09,0.6,34.41
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,2021,759,22.43,2.43,1.22,0.67,26.75
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,2022,759,20.29,2.19,1.1,0.6,24.18
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,2023,754,18.26,1.95,0.97,0.54,21.72
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,2024,754,16.3,1.68,0.84,0.46,19.28
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,2025,754,15.93,1.74,0.87,0.48,19.02
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,2026,754,14.38,1.6,0.8,0.44,17.22
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",2019,969,55.28,3.46,1.73,0.95,61.42
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",2020,969,43.14,2.78,1.39,0.77,48.08
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",2021,969,31.68,3.11,1.55,0.85,37.19
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",2022,969,28.66,2.8,1.4,0.77,33.63
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",2023,969,25.79,2.5,1.25,0.69,30.23
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",2024,969,23.03,2.17,1.08,0.6,26.88
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",2025,969,22.51,2.24,1.12,0.62,26.49
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",2026,969,20.32,2.06,1.03,0.57,23.98
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,2019,1273,68.88,4.55,2.27,1.25,76.95
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,2020,1273,53.75,3.66,1.83,1.01,60.25
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,2021,1273,39.47,4.08,2.04,1.12,46.71
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,2022,1273,35.71,3.68,1.84,1.01,42.24
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,2023,1272,32.14,3.29,1.64,0.9,37.97
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,2024,1272,28.69,2.84,1.42,0.78,33.73
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,2025,1272,28.05,2.94,1.47,0.81,33.27
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,2026,1272,25.32,2.71,1.35,0.74,30.12
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,2019,4,0.78,0.01,0.01,0.0,0.8
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,2020,4,0.61,0.01,0.01,0.0,0.63
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,2021,4,0.45,0.01,0.01,0.0,0.47
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,2022,4,0.4,0.01,0.01,0.0,0.42
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,2023,4,0.36,0.01,0.01,0.0,0.38
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,2024,4,0.32,0.01,0.0,0.0,0.33
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,2025,4,0.32,0.01,0.0,0.0,0.33
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,2026,4,0.29,0.01,0.0,0.0,0.3
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2019,75,7.22,0.27,0.13,0.07,7.69
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2020,75,5.63,0.22,0.11,0.06,6.02
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2021,75,4.14,0.24,0.12,0.07,4.57
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2022,75,3.74,0.22,0.11,0.06,4.13
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2023,73,3.37,0.19,0.09,0.05,3.7
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2024,73,3.01,0.16,0.08,0.04,3.29
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2025,73,2.94,0.17,0.08,0.05,3.24
PT PLN (PERSERO) UNIT INDUK PEMBANGKITAN TANJUNG JATI B,2026,73,2.65,0.16,0.08,0.04,2.93
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN JAWA BAGIAN BARAT,2019,255,17.52,0.91,0.46,0.25,19.14
