pasca_id,pendaftaran_id,kandidat_id,profesi_id,gelombang_id,tahap_kode,urutan,tanggal_mulai,tanggal_selesai,status,progres,pemilik_proses,sistem_sumber
77,REG0000316,246,F00196,G2025-091,pembidangan,10,2026-03-30,2026-03-30,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
78,REG0000316,246,F00196,G2025-091,ojt,11,2026-04-04,2026-10-01,BERJALAN,0.9111,PUSDIKLAT,aplikasi Pusdiklat
79,REG0000326,254,F00055,G2019-072,pengumuman_akhir,7,2020-02-12,2020-02-12,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
80,REG0000326,254,F00055,G2019-072,ttd_kontrak,8,2020-02-28,2020-02-28,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
81,REG0000326,254,F00055,G2019-072,samapta,9,2020-03-26,2020-03-26,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
82,REG0000326,254,F00055,G2019-072,pembidangan,10,2020-03-28,2020-03-28,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
83,REG0000326,254,F00055,G2019-072,ojt,11,2020-04-02,2020-09-29,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
84,REG0000326,254,F00055,G2019-072,ujian_ojt,12,2020-10-09,2020-10-09,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
85,REG0000326,254,F00055,G2019-072,sk_penempatan,13,2020-10-24,2020-10-24,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
86,REG0000342,265,F00165,G2024-087,pengumuman_akhir,7,2024-08-24,2024-08-24,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
87,REG0000342,265,F00165,G2024-087,ttd_kontrak,8,2024-09-05,2024-09-05,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
88,REG0000342,265,F00165,G2024-087,samapta,9,2024-10-02,2024-10-02,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
89,REG0000342,265,F00165,G2024-087,pembidangan,10,2024-10-08,2024-10-08,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
90,REG0000342,265,F00165,G2024-087,ojt,11,2024-10-13,2025-04-11,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
91,REG0000342,265,F00165,G2024-087,ujian_ojt,12,2025-04-20,2025-04-20,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
92,REG0000342,265,F00165,G2024-087,sk_penempatan,13,2025-05-06,2025-05-06,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
93,REG0000358,277,F00076,G2022-079,pengumuman_akhir,7,2023-04-19,2023-04-19,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
94,REG0000358,277,F00076,G2022-079,ttd_kontrak,8,2023-04-29,2023-04-29,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
95,REG0000358,277,F00076,G2022-079,samapta,9,2023-05-21,2023-05-21,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
96,REG0000358,277,F00076,G2022-079,pembidangan,10,2023-06-03,2023-06-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
97,REG0000358,277,F00076,G2022-079,ojt,11,2023-06-08,2023-12-05,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
98,REG0000358,277,F00076,G2022-079,ujian_ojt,12,2023-12-10,2023-12-10,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
99,REG0000358,277,F00076,G2022-079,sk_penempatan,13,2023-12-30,2023-12-30,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
100,REG0000384,296,F00047,G2019-072,pengumuman_akhir,7,2020-02-12,2020-02-12,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
101,REG0000384,296,F00047,G2019-072,ttd_kontrak,8,2020-02-22,2020-02-22,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
102,REG0000384,296,F00047,G2019-072,samapta,9,2020-03-15,2020-03-15,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
103,REG0000384,296,F00047,G2019-072,pembidangan,10,2020-03-28,2020-03-28,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
104,REG0000384,296,F00047,G2019-072,ojt,11,2020-04-02,2020-09-29,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
105,REG0000384,296,F00047,G2019-072,ujian_ojt,12,2020-10-04,2020-10-04,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
106,REG0000384,296,F00047,G2019-072,sk_penempatan,13,2020-10-24,2020-10-24,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
107,REG0000440,338,F00183,G2024-088,pengumuman_akhir,7,2025-01-17,2025-01-17,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
108,REG0000440,338,F00183,G2024-088,ttd_kontrak,8,2025-02-01,2025-02-01,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
109,REG0000440,338,F00183,G2024-088,samapta,9,2025-02-16,2025-02-16,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
110,REG0000440,338,F00183,G2024-088,pembidangan,10,2025-03-03,2025-03-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
111,REG0000440,338,F00183,G2024-088,ojt,11,2025-03-08,2025-09-04,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
112,REG0000440,338,F00183,G2024-088,ujian_ojt,12,2025-09-14,2025-09-14,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
113,REG0000440,338,F00183,G2024-088,sk_penempatan,13,2025-09-29,2025-09-29,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
114,REG0000447,344,F00215,G2025-092,pengumuman_akhir,7,2026-02-27,2026-02-27,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
115,REG0000447,344,F00215,G2025-092,ttd_kontrak,8,2026-03-18,2026-03-18,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
116,REG0000447,344,F00215,G2025-092,samapta,9,2026-04-04,2026-04-04,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
117,REG0000447,344,F00215,G2025-092,pembidangan,10,2026-04-13,2026-04-13,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
118,REG0000447,344,F00215,G2025-092,ojt,11,2026-04-18,2026-10-15,BERJALAN,0.8333,PUSDIKLAT,aplikasi Pusdiklat
119,REG0000495,377,F00164,G2024-087,pengumuman_akhir,7,2024-08-24,2024-08-24,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
120,REG0000495,377,F00164,G2024-087,ttd_kontrak,8,2024-09-13,2024-09-13,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
121,REG0000495,377,F00164,G2024-087,samapta,9,2024-09-25,2024-09-25,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
122,REG0000495,377,F00164,G2024-087,pembidangan,10,2024-10-08,2024-10-08,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
123,REG0000495,377,F00164,G2024-087,ojt,11,2024-10-13,2025-04-11,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
124,REG0000495,377,F00164,G2024-087,ujian_ojt,12,2025-04-19,2025-04-19,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
125,REG0000495,377,F00164,G2024-087,sk_penempatan,13,2025-05-06,2025-05-06,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
126,REG0000504,385,F00095,G2023-081,pengumuman_akhir,7,2023-10-25,2023-10-25,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
127,REG0000504,385,F00095,G2023-081,ttd_kontrak,8,2023-11-15,2023-11-15,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
128,REG0000504,385,F00095,G2023-081,samapta,9,2023-11-27,2023-11-27,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
129,REG0000504,385,F00095,G2023-081,pembidangan,10,2023-12-09,2023-12-09,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
130,REG0000504,385,F00095,G2023-081,ojt,11,2023-12-14,2024-06-11,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
131,REG0000504,385,F00095,G2023-081,ujian_ojt,12,2024-06-26,2024-06-26,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
132,REG0000504,385,F00095,G2023-081,sk_penempatan,13,2024-07-06,2024-07-06,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
133,REG0000538,413,F00117,G2023-081,pengumuman_akhir,7,2023-10-25,2023-10-25,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
134,REG0000538,413,F00117,G2023-081,ttd_kontrak,8,2023-11-16,2023-11-16,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
135,REG0000538,413,F00117,G2023-081,samapta,9,2023-12-05,2023-12-05,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
136,REG0000538,413,F00117,G2023-081,pembidangan,10,2023-12-09,2023-12-09,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
137,REG0000538,413,F00117,G2023-081,ojt,11,2023-12-14,2024-06-11,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
138,REG0000538,413,F00117,G2023-081,ujian_ojt,12,2024-06-22,2024-06-22,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
139,REG0000538,413,F00117,G2023-081,sk_penempatan,13,2024-07-06,2024-07-06,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
140,REG0000550,425,F00223,G2025-092,pengumuman_akhir,7,2026-02-27,2026-02-27,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
141,REG0000550,425,F00223,G2025-092,ttd_kontrak,8,2026-03-17,2026-03-17,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
142,REG0000550,425,F00223,G2025-092,samapta,9,2026-04-01,2026-04-01,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
143,REG0000550,425,F00223,G2025-092,pembidangan,10,2026-04-13,2026-04-13,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
144,REG0000550,425,F00223,G2025-092,ojt,11,2026-04-18,2026-10-15,BERJALAN,0.8333,PUSDIKLAT,aplikasi Pusdiklat
145,REG0000561,432,F00163,G2024-087,pengumuman_akhir,7,2024-08-24,2024-08-24,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
146,REG0000561,432,F00163,G2024-087,ttd_kontrak,8,2024-09-15,2024-09-15,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
147,REG0000561,432,F00163,G2024-087,samapta,9,2024-09-24,2024-09-24,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
148,REG0000561,432,F00163,G2024-087,pembidangan,10,2024-10-08,2024-10-08,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
149,REG0000561,432,F00163,G2024-087,ojt,11,2024-10-13,2025-04-11,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
150,REG0000561,432,F00163,G2024-087,ujian_ojt,12,2025-04-22,2025-04-22,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
151,REG0000561,432,F00163,G2024-087,sk_penempatan,13,2025-05-06,2025-05-06,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
152,REG0000656,506,F00182,G2024-088,pengumuman_akhir,7,2025-01-17,2025-01-17,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
153,REG0000656,506,F00182,G2024-088,ttd_kontrak,8,2025-01-31,2025-01-31,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
154,REG0000656,506,F00182,G2024-088,samapta,9,2025-02-21,2025-02-21,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
155,REG0000656,506,F00182,G2024-088,pembidangan,10,2025-03-03,2025-03-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
156,REG0000656,506,F00182,G2024-088,ojt,11,2025-03-08,2025-09-04,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
157,REG0000656,506,F00182,G2024-088,ujian_ojt,12,2025-09-16,2025-09-16,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
158,REG0000656,506,F00182,G2024-088,sk_penempatan,13,2025-09-29,2025-09-29,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
159,REG0000664,512,F00193,G2025-091,pengumuman_akhir,7,2026-02-13,2026-02-13,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
160,REG0000664,512,F00193,G2025-091,ttd_kontrak,8,2026-03-04,2026-03-04,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
161,REG0000664,512,F00193,G2025-091,samapta,9,2026-03-15,2026-03-15,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
162,REG0000664,512,F00193,G2025-091,pembidangan,10,2026-03-30,2026-03-30,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
163,REG0000664,512,F00193,G2025-091,ojt,11,2026-04-04,2026-10-01,BERJALAN,0.9111,PUSDIKLAT,aplikasi Pusdiklat
164,REG0000678,524,F00078,G2022-080,pengumuman_akhir,7,2023-05-19,2023-05-19,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
165,REG0000678,524,F00078,G2022-080,ttd_kontrak,8,2023-06-02,2023-06-02,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
166,REG0000678,524,F00078,G2022-080,samapta,9,2023-06-30,2023-06-30,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
167,REG0000678,524,F00078,G2022-080,pembidangan,10,2023-07-03,2023-07-03,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
168,REG0000678,524,F00078,G2022-080,ojt,11,2023-07-08,2024-01-04,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
169,REG0000678,524,F00078,G2022-080,ujian_ojt,12,2024-01-17,2024-01-17,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
170,REG0000678,524,F00078,G2022-080,sk_penempatan,13,2024-01-29,2024-01-29,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
171,REG0000681,527,F00135,G2023-082,pengumuman_akhir,7,2023-12-09,2023-12-09,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
172,REG0000681,527,F00135,G2023-082,ttd_kontrak,8,2023-12-19,2023-12-19,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
173,REG0000681,527,F00135,G2023-082,samapta,9,2024-01-15,2024-01-15,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
174,REG0000681,527,F00135,G2023-082,pembidangan,10,2024-01-23,2024-01-23,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
175,REG0000681,527,F00135,G2023-082,ojt,11,2024-01-28,2024-07-26,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
176,REG0000681,527,F00135,G2023-082,ujian_ojt,12,2024-08-08,2024-08-08,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
177,REG0000681,527,F00135,G2023-082,sk_penempatan,13,2024-08-20,2024-08-20,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
178,REG0000697,537,F00225,G2025-092,pengumuman_akhir,7,2026-02-27,2026-02-27,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
179,REG0000697,537,F00225,G2025-092,ttd_kontrak,8,2026-03-14,2026-03-14,SELESAI,1.0,PLN_HTD,rekrutmen.pln.co.id
180,REG0000697,537,F00225,G2025-092,samapta,9,2026-04-02,2026-04-02,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
181,REG0000697,537,F00225,G2025-092,pembidangan,10,2026-04-13,2026-04-13,SELESAI,1.0,PUSDIKLAT,aplikasi Pusdiklat
182,REG0000697,537,F00225,G2025-092,ojt,11,2026-04-18,2026-10-15,BERJALAN,0.8333,PUSDIKLAT,aplikasi Pusdiklat
