program_studi,rumpun,bidang,kata_kunci_pemicu,n_profesi,n_program,sumber
ADMINISTRASI RUMAH SAKIT,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINISTRASI SEKRETARIAT,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ADMINITRASI PENDIDIKAN,Administrasi,NON-TEKNIK,ADMINITRASI,0,0,rbb
ADMINITRASI PERKANTORAN,Administrasi,NON-TEKNIK,ADMINITRASI,0,0,rbb
ADMINITRASI RUMAH SAKIT,Administrasi,NON-TEKNIK,ADMINITRASI,0,0,rbb
ADMINSITRASI BISNIS DAN PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
ADMINSITRASI KEUANGAN,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
ADVERTISING,Pemasaran dan Niaga,NON-TEKNIK,ADVERTISING,0,0,rbb
ADVERTISING PERIKLANAN,Pemasaran dan Niaga,NON-TEKNIK,ADVERTISING,0,0,rbb
AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,33,22,profesi|programs|rbb
AKUNTANSI DAN KEUANGAN LEMBAGA,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI DAN MANAGEMENT,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI DAN MANAJEMEN,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI KEUANGAN,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI KEUANGAN DAN PERBANKAN,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI LEMBAGA KEUANGAN SYARIAH,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI MANAJEMEN,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI MANAJERIAL,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI PERBANKAN,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI PERPAJAKAN,Akuntansi dan Perpajakan,NON-TEKNIK,PERPAJAKAN,0,0,rbb
AKUNTANSI SEKTOR PUBLIK,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI SYARIAH,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
AKUNTANSI TERAPAN,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
APPLICATION DEVELOPMENT PROFESIONAL,Informatika dan Data,TEKNIK,APPLICATION DEVELOPMENT,0,0,rbb
ART AND COMPUTER SCIENCE,Informatika dan Data,TEKNIK,COMPUTER,0,0,rbb
ARTIFICIAL INTELLIGENCE BUSINESS ANALYTICS,Informatika dan Data,TEKNIK,ARTIFICIAL INTELLIGENCE,0,0,rbb
AUDITING DAN PELAPORAN KEUANGAN,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
BIG DATA DAN BUSINESS INTELLIGENCE,Informatika dan Data,TEKNIK,BIG DATA,1,1,profesi|programs
BIOMANAJEMEN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
BIOMEDICAL ENGINEERING,Kimia dan Lingkungan,TEKNIK,BIOMEDI,0,0,rbb
BIOTEKNOLOGI DALAM INDUSTRI,Kimia dan Lingkungan,TEKNIK,BIOTEKNOLOGI,0,0,rbb
BISNIS,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,7,7,profesi|programs|rbb
BISNIS ANALIS,Manajemen dan Bisnis,NON-TEKNIK,BISNIS ANALIS,1,1,profesi|programs
BISNIS DARING DAN PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
BISNIS DIGITAL,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS DIGITAL ECOMMERCE,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS HOSPITALITI,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS INTERNASIONAL,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS ISLAM,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS JASA MAKANAN,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS KEUANGAN,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
BISNIS KEWIRAUSAHAAN,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS KONTRUKSI DAN PROPERTI,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS KULINER,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS MANAJEMEN,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS NIAGA PEMASARAN,Pemasaran dan Niaga,NON-TEKNIK,PEMASARAN,0,0,rbb
BISNIS PARIWISATA,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS PARIWISATA DAN PERHOTELAN,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS PERHOTELAN DAN PARIWISATA,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BISNIS PERJALANAN WISATA,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
BUSINESS ADMINISTRATION,Manajemen dan Bisnis,NON-TEKNIK,BUSINESS,0,0,rbb
BUSINESS CREATION,Manajemen dan Bisnis,NON-TEKNIK,BUSINESS,0,0,rbb
BUSINESS INFORMATION TECHNOLOGY,Informatika dan Data,TEKNIK,INFORMATION TECHNOLOGY,0,0,rbb
COMPUTER AIDED INDUSTRIAL DESIGN,Informatika dan Data,TEKNIK,COMPUTER,0,0,rbb
COMPUTERIZED ACCOUNTING,Akuntansi dan Perpajakan,NON-TEKNIK,ACCOUNTING,0,0,rbb
CREATIVEPRENEURSHIP,Manajemen dan Bisnis,NON-TEKNIK,CREATIVEPRENEUR,0,0,rbb
CULINARY BUSINESS,Manajemen dan Bisnis,NON-TEKNIK,BUSINESS,0,0,rbb
CULINARY MANAGEMENT,Manajemen dan Bisnis,NON-TEKNIK,CULINARY,0,0,rbb
DATA SCIENCE,Informatika dan Data,TEKNIK,DATA SCIENCE,3,4,profesi|programs
DESAIN DAN MANAJEMEN PRODUK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
DIGITAL MARKETING DAN ANALYTICS,Pemasaran dan Niaga,NON-TEKNIK,DIGITAL MARKETING,1,1,profesi|programs
EKONOMI,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI ADMINISTRASI,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
EKONOMI AKUNTANSI SYARIAH,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
EKONOMI BISNIS,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
EKONOMI DAN ADMINISTRASI,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI DAN BISNIS,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
EKONOMI DAN BISNIS INTERNASIONAL,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
EKONOMI DAN BISNIS ISLAM,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
EKONOMI DAN BISNIS ISLAM PERBANKAN SYARIAH,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
EKONOMI DAN BISNIS SYARIAH,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
EKONOMI DAN HUKUM BISNIS INTERNASIONAL,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
EKONOMI DAN KEUANGAN ISLAM,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
EKONOMI DAN KEUANGAN SYARIAH,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
EKONOMI DAN PERBANKAN ISLAM,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
EKONOMI DAN STUDI PEMBANGUNAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI GEOGRAFI,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI INDUSTRI,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI INTERNASIONAL,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI ISLAM,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI ISLAM KONSENTRASI MANAJEMEN KEUANGAN ISLAM,Keuangan,NON-TEKNIK,MANAJEMEN KEUANGAN,0,0,rbb
EKONOMI KEUANGAN,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
EKONOMI MANAJEMEN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI MONETER,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI PEMBANGUNAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI PEMBANGUNAN DAN PERENCANAAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI PEMERINTAHAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI PENDIDIKAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI PERBANKAN,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
EKONOMI PERUSAHAAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI POLITIK,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI PUBLIK,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI REGIONAL,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI SOSIAL,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI SUMBER DAYA ALAM DAN LINGKUNGAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI SUMBER DAYA MANUSIA,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI SUMBERDAYA DAN LINGKUNGAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI SYARIAH,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI TERAPAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
EKONOMI UMUM,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
ELEKTRONIKA DAN INSTRUMENTASI,Elektro dan Ketenagalistrikan,TEKNIK,INSTRUMENTASI,0,1,programs
ENERGI BARU TERBARUKAN,Mesin dan Konversi Energi,TEKNIK,ENERGI BARU TERBARUKAN,3,3,profesi|programs
HOSPITALITI ADMINISTRASI HOTEL,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
HOSPITALITY MANAJEMEN PASTRY,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
HOSPITALITY MANAJEMEN TATA HIDANGAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
HUBUNGAN MASYARAKAT,Komunikasi dan Humas,NON-TEKNIK,HUBUNGAN MASYARAKAT,7,7,profesi|programs
HUKUM,Hukum,NON-TEKNIK,HUKUM,10,10,profesi|programs
ILMU ADMINISTRASI,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ILMU ADMINISTRASI JURUSAN USAHA PERJALANAN WISATA,Administrasi,NON-TEKNIK,ADMINISTRASI,0,0,rbb
ILMU ADMINISTRASI NEGARA,Hukum,NON-TEKNIK,ADMINISTRASI NEGARA,0,0,rbb
ILMU ADMINISTRASI PUBLIK,Hukum,NON-TEKNIK,ADMINISTRASI PUBLIK,0,0,rbb
ILMU AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
ILMU EKONOMI ISLAM,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
ILMU EKONOMI PERTANIAN,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
ILMU EKONOMI SYARIAH,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
ILMU KOMPUTER,Informatika dan Data,TEKNIK,ILMU KOMPUTER,0,0,rbb
ILMU MANAJEMEN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
ILMU MANAJEMEN BISNIS,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
ILMU MANAJEMEN KOMUNIKASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
ILMU MANAJEMEN PERBANKAN,Keuangan,NON-TEKNIK,PERBANKAN,0,0,rbb
ILMU MANAJEMEN STRATEJIK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
INFORMASI SYSTEM,Informatika dan Data,TEKNIK,INFORMASI SYSTEM,0,0,rbb
INSTRUMENTASI FISIK,Elektro dan Ketenagalistrikan,TEKNIK,INSTRUMENTASI,0,0,rbb
KEAMANAN SIBER,Informatika dan Data,TEKNIK,KEAMANAN SIBER,0,0,rbb
KEBIJAKAN DAN MANAJEMEN PUBLIK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
KEPEGAWAIAN,Psikologi dan SDM,NON-TEKNIK,KEPEGAWAIAN,0,0,rbb
KESEHATAN MASYARAKAT K3,K3,TEKNIK,KESEHATAN MASYARAKAT K3,1,1,profesi|programs
KESEKRETARIATAN,Administrasi,NON-TEKNIK,KESEKRETARIATAN,0,0,rbb
KESEKRETARIATAN KONSENTRASI PERPUSTAKAAN DAN ARSIP,Administrasi,NON-TEKNIK,KESEKRETARIATAN,0,0,rbb
KESEKRETARIATAN PERPUSTAKAAN DAN ARSIP,Administrasi,NON-TEKNIK,KESEKRETARIATAN,0,0,rbb
KESELAMATAN DAN KESEHATAN KERJA,K3,TEKNIK,KESELAMATAN DAN KESEHATAN KERJA,8,8,profesi|programs
KEUANGAN,Keuangan,NON-TEKNIK,KEUANGAN,6,6,profesi|programs|rbb
KEUANGAN DAN PERBANKAN,Keuangan,NON-TEKNIK,KEUANGAN,0,0,rbb
KEWIRAUSAHAAN ISLAM,Manajemen dan Bisnis,NON-TEKNIK,KEWIRAUSAHAAN,0,0,rbb
KOMPUTER AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
KOMPUTERISASI AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
KOMUNIKASI,Komunikasi dan Humas,NON-TEKNIK,KOMUNIKASI,8,8,profesi|programs
KONVERSI ENERGI,Mesin dan Konversi Energi,TEKNIK,KONVERSI ENERGI,7,7,profesi|programs
LINGKUNGAN,Kimia dan Lingkungan,NON-TEKNIK,LINGKUNGAN,1,1,profesi|programs
LOGISTIK,Logistik dan Rantai Pasok,NON-TEKNIK,LOGISTIK,1,1,profesi|programs
MANAJEMEN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,35,20,profesi|programs|rbb
MANAJEMEN ADMINISTRASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN ADMINISTRASI AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
MANAJEMEN ADMINISTRASI NIAGA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN ADMINISTRASI PERHOTELAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN AGAMA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN AGROINDUSTRI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN AKUNTANSI,Akuntansi dan Perpajakan,NON-TEKNIK,AKUNTANSI,0,0,rbb
MANAJEMEN ASET,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN ASET,1,3,profesi|programs|rbb
MANAJEMEN ASURANSI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN BANDAR UDARA,Sipil dan Geodesi,TEKNIK,BANDAR UDARA,0,0,rbb
MANAJEMEN BENCANA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN BERITA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN BISNIS,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,14,17,profesi|programs|rbb
MANAJEMEN BISNIS INDUSTRI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS INTERNASIONAL,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS JASA PERJALANAN WISATA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS KONVENSI DAN EVENT,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS KONVENSI DAN PERHELATAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS PARIWISATA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS PERJALANAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS PERJALANAN WISATA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS SYARIAH,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN BISNIS TELEKOMUNIKASI DAN INFORMATIKA,Informatika dan Data,TEKNIK,INFORMATIKA,0,0,rbb
MANAJEMEN BISNIS UNGGAS,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN BISNIS,0,0,rbb
MANAJEMEN DAKWAH,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN DAKWAH ISLAM,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN DAKWAH KOMUNIKASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN DAN ADMINISTRASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN DAN BISNIS,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
MANAJEMEN DAN EKONOMI ALAM,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
MANAJEMEN DAN KEBIJAKAN PUBLIK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN DESTINASI PARIWISATA,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN DIVISI KAMAR,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN EKONOMI,Manajemen dan Bisnis,NON-TEKNIK,EKONOMI,0,0,rbb
MANAJEMEN EKONOMI DAN BISNIS,Manajemen dan Bisnis,NON-TEKNIK,BISNIS,0,0,rbb
MANAJEMEN EVENT,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN FINANSIAL,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN HAJI DAN UMRAH,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN HOSPITALITY,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN HOTEL,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN HUTAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INDUSTRI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INDUSTRI JASA MAKAN DAN GIZI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INDUSTRI KATERING,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INDUSTRI PANGAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INFORMASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INFORMASI DAN DOKUMEN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INFORMASI DAN KOMUNIKASI,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INFORMASI KESEHATAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INFORMATIKA,Informatika dan Data,TEKNIK,INFORMATIKA,0,0,rbb
MANAJEMEN INFORMATIKA DAN TEKNIK KOMPUTER,Informatika dan Data,TEKNIK,TEKNIK KOMPUTER,0,0,rbb
MANAJEMEN INTERNASIONAL,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN INVESTASI BANK,Keuangan,NON-TEKNIK,MANAJEMEN INVESTASI,1,3,profesi|programs
MANAJEMEN ISI KAMAR,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN ISI KAMAR PERHOTELAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN ISLAM,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KEBIJAKAN PUBLIK,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KEPARIWISATAAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KEPELABUHAN DAN PELAYARAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KESEHATAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KESELAMATAN TRANSPORTASI JALAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KETAHANAN PANGAN,Manajemen dan Bisnis,NON-TEKNIK,MANAJEMEN,0,0,rbb
MANAJEMEN KEUANGAN,Keuangan,NON-TEKNIK,MANAJEMEN KEUANGAN,5,8,profesi|programs|rbb
