kode_unit_pelaksana,unit_induk,nama_pendek,nama_lengkap,jenis_unit,jumlah_pegawai
8211,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Bogor,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN BOGOR,UPDL,17
8212,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Jakarta,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN JAKARTA,UPDL,18
8216,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Makassar,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN MAKASSAR,UPDL,18
8218,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Padang,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PADANG,UPDL,18
8220,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Palembang,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PALEMBANG,UPDL,23
8214,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Pandaan,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN PANDAAN,UPDL,27
8213,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Semarang,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SEMARANG,UPDL,29
8224,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Surabaya,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SURABAYA,UPDL,27
8217,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Suralaya,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN SURALAYA,UPDL,16
8215,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPDL Tuntungan,UNIT PELAKSANA PENDIDIKAN DAN PELATIHAN TUNTUNGAN,UPDL,21
8223,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPMLEB,UNIT PELAKSANA MUSEUM LISTRIK ENERGI BARU,UPMLEB,4
8222,PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),UPS,UNIT PELAKSANA SERTIFIKASI,UPS,31
8101,PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,PUSLITBANG,KANTOR INDUK,98
8601,PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,PUSERTIF,KANTOR INDUK,260
6101,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI ACEH,UPP,144
6156,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UP2D Aceh,UNIT PELAKSANA PENGATUR DISTRIBUSI ACEH,UP2D,42
6112,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UP3 Banda Aceh,UNIT PELAKSANA PELAYANAN PELANGGAN BANDA ACEH,UP3,124
6111,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UP3 Langsa,UNIT PELAKSANA PELAYANAN PELANGGAN LANGSA,UP3,110
6113,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UP3 Lhokseumawe,UNIT PELAKSANA PELAYANAN PELANGGAN LHOKSEUMAWE,UP3,143
6114,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UP3 Meulaboh,UNIT PELAKSANA PELAYANAN PELANGGAN MEULABOH,UP3,83
6116,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UP3 Sigli,UNIT PELAKSANA PELAYANAN PELANGGAN SIGLI,UP3,64
6115,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UP3 Subulussalam,UNIT PELAKSANA PELAYANAN PELANGGAN SUBULUSSALAM,UP3,88
5501,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,UID Bali,KANTOR INDUK,124
5556,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UP2D Bali,UNIT PELAKSANA PENGATUR DISTRIBUSI BALI,UP2D,56
5581,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UP3 Bali Selatan,UNIT PELAKSANA PELAYANAN PELANGGAN BALI SELATAN,UP3,162
5583,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UP3 Bali Timur,UNIT PELAKSANA PELAYANAN PELANGGAN BALI TIMUR,UP3,108
5582,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UP3 Bali Utara,UNIT PELAKSANA PELAYANAN PELANGGAN BALI UTARA,UP3,101
5601,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,UID Banten,KANTOR INDUK,142
5656,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UP2D Banten,UNIT PELAKSANA PENGATUR DISTRIBUSI BANTEN,UP2D,75
5617,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UP3 Banten Selatan,UNIT PELAKSANA PELAYANAN PELANGGAN BANTEN SELATAN,UP3,107
5616,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UP3 Banten Utara,UNIT PELAKSANA PELAYANAN PELANGGAN BANTEN UTARA,UP3,131
5612,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UP3 Cikokol,UNIT PELAKSANA PELAYANAN PELANGGAN CIKOKOL,UP3,72
5613,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UP3 Cikupa,UNIT PELAKSANA PELAYANAN PELANGGAN CIKUPA,UP3,80
5611,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UP3 Serpong,UNIT PELAKSANA PELAYANAN PELANGGAN SERPONG,UP3,91
5614,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UP3 Teluk Naga,UNIT PELAKSANA PELAYANAN PELANGGAN TELUK NAGA,UP3,79
5401,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,UID Jakarta Raya,KANTOR INDUK,204
5456,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP2D Jakarta,UNIT PELAKSANA PENGATUR DISTRIBUSI JAKARTA,UP2D,129
5487,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Bandengan,UNIT PELAKSANA PELAYANAN PELANGGAN BANDENGAN,UP3,75
5486,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Bintaro,UNIT PELAKSANA PELAYANAN PELANGGAN BINTARO,UP3,64
5483,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Bulungan,UNIT PELAKSANA PELAYANAN PELANGGAN BULUNGAN,UP3,70
5489,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Cempaka Putih,UNIT PELAKSANA PELAYANAN PELANGGAN CEMPAKA PUTIH,UP3,62
5493,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Cengkareng,UNIT PELAKSANA PELAYANAN PELANGGAN CENGKARENG,UP3,76
5485,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Ciputat,UNIT PELAKSANA PELAYANAN PELANGGAN CIPUTAT,UP3,57
5482,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Ciracas,UNIT PELAKSANA PELAYANAN PELANGGAN CIRACAS,UP3,62
5477,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Jatinegara,UNIT PELAKSANA PELAYANAN PELANGGAN JATINEGARA,UP3,56
5484,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Kebon Jeruk,UNIT PELAKSANA PELAYANAN PELANGGAN KEBON JERUK,UP3,56
5479,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Kramat Jati,UNIT PELAKSANA PELAYANAN PELANGGAN KRAMAT JATI,UP3,53
5480,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Lenteng Agung,UNIT PELAKSANA PELAYANAN PELANGGAN LENTENG AGUNG,UP3,62
5491,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Marunda,UNIT PELAKSANA PELAYANAN PELANGGAN MARUNDA,UP3,62
5488,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Menteng,UNIT PELAKSANA PELAYANAN PELANGGAN MENTENG,UP3,80
5481,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Pondok Gede,UNIT PELAKSANA PELAYANAN PELANGGAN PONDOK GEDE,UP3,57
5478,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Pondok Kopi,UNIT PELAKSANA PELAYANAN PELANGGAN PONDOK KOPI,UP3,61
5490,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UP3 Tanjung Priok,UNIT PELAKSANA PELAYANAN PELANGGAN TANJUNG PRIOK,UP3,55
5301,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,Kantor UID Jawa Barat,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI JAWA BARAT,UPP,183
5356,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP2D Bandung,UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA BARAT,UP2D,87
5320,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Bandung,UNIT PELAKSANA PELAYANAN PELANGGAN BANDUNG,UP3,130
5322,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Bekasi,UNIT PELAKSANA PELAYANAN PELANGGAN BEKASI,UP3,111
5316,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Bogor,UNIT PELAKSANA PELAYANAN PELANGGAN BOGOR,UP3,118
5314,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Cianjur,UNIT PELAKSANA PELAYANAN PELANGGAN CIANJUR,UP3,94
5328,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Cikarang,UNIT PELAKSANA PELAYANAN PELANGGAN CIKARANG,UP3,89
5319,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Cimahi,UNIT PELAKSANA PELAYANAN PELANGGAN CIMAHI,UP3,119
5311,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Cirebon,UNIT PELAKSANA PELAYANAN PELANGGAN CIREBON,UP3,107
5323,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Depok,UNIT PELAKSANA PELAYANAN PELANGGAN DEPOK,UP3,103
5313,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Garut,UNIT PELAKSANA PELAYANAN PELANGGAN GARUT,UP3,92
5327,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Gunung Putri,UNIT PELAKSANA PELAYANAN PELANGGAN GUNUNG PUTRI,UP3,82
5329,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Indramayu,UNIT PELAKSANA PELAYANAN PELANGGAN INDRAMAYU,UP3,91
5324,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Karawang,UNIT PELAKSANA PELAYANAN PELANGGAN KARAWANG,UP3,100
5321,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Majalaya,UNIT PELAKSANA PELAYANAN PELANGGAN MAJALAYA,UP3,107
5318,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Purwakarta,UNIT PELAKSANA PELAYANAN PELANGGAN PURWAKARTA,UP3,99
5315,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Sukabumi,UNIT PELAKSANA PELAYANAN PELANGGAN SUKABUMI,UP3,104
5325,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Sumedang,UNIT PELAKSANA PELAYANAN PELANGGAN SUMEDANG,UP3,87
5312,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UP3 Tasikmalaya,UNIT PELAKSANA PELAYANAN PELANGGAN TASIKMALAYA,UP3,119
5201,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI JAWA TENGAH DAN D.I. YOGYAKARTA,UPP,163
5256,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP2D Semarang,UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP2D,74
5221,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Cilacap,UNIT PELAKSANA PELAYANAN PELANGGAN CILACAP,UP3,101
5222,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Grobogan,UNIT PELAKSANA PELAYANAN PELANGGAN GROBOGAN,UP3,80
5219,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Klaten,UNIT PELAKSANA PELAYANAN PELANGGAN KLATEN,UP3,97
5211,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Kudus,UNIT PELAKSANA PELAYANAN PELANGGAN KUDUS,UP3,122
5214,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Magelang,UNIT PELAKSANA PELAYANAN PELANGGAN MAGELANG,UP3,107
5220,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Pekalongan,UNIT PELAKSANA PELAYANAN PELANGGAN PEKALONGAN,UP3,85
5215,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Purwokerto,UNIT PELAKSANA PELAYANAN PELANGGAN PURWOKERTO,UP3,111
5218,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Salatiga,UNIT PELAKSANA PELAYANAN PELANGGAN SALATIGA,UP3,73
5217,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Semarang,UNIT PELAKSANA PELAYANAN PELANGGAN SEMARANG,UP3,139
5223,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Sukoharjo,UNIT PELAKSANA PELAYANAN PELANGGAN SUKOHARJO,UP3,95
5212,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Surakarta,UNIT PELAKSANA PELAYANAN PELANGGAN SURAKARTA,UP3,117
5216,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Tegal,UNIT PELAKSANA PELAYANAN PELANGGAN TEGAL,UP3,139
5213,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UP3 Yogyakarta,UNIT PELAKSANA PELAYANAN PELANGGAN YOGYAKARTA,UP3,140
5101,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI JAWA TIMUR,UPP,181
5156,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP2D - Surabaya,UNIT PELAKSANA PENGATUR DISTRIBUSI JAWA TIMUR,UP2D,83
5113,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Banyuwangi,UNIT PELAKSANA PELAYANAN PELANGGAN BANYUWANGI,UP3,83
5122,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Bojonegoro,UNIT PELAKSANA PELAYANAN PELANGGAN BOJONEGORO,UP3,113
5124,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Gresik,UNIT PELAKSANA PELAYANAN PELANGGAN GRESIK,UP3,81
5114,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Jember,UNIT PELAKSANA PELAYANAN PELANGGAN JEMBER,UP3,118
5116,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Kediri,UNIT PELAKSANA PELAYANAN PELANGGAN KEDIRI,UP3,153
5117,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Madiun,UNIT PELAKSANA PELAYANAN PELANGGAN MADIUN,UP3,102
5119,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Madura,UNIT PELAKSANA PELAYANAN PELANGGAN MADURA,UP3,119
5115,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Malang,UNIT PELAKSANA PELAYANAN PELANGGAN MALANG,UP3,179
5118,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Mojokerto,UNIT PELAKSANA PELAYANAN PELANGGAN MOJOKERTO,UP3,144
5111,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Pasuruan,UNIT PELAKSANA PELAYANAN PELANGGAN PASURUAN,UP3,142
5125,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Ponorogo,UNIT PELAKSANA PELAYANAN PELANGGAN PONOROGO,UP3,74
5123,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Sidoarjo,UNIT PELAKSANA PELAYANAN PELANGGAN SIDOARJO,UP3,90
5112,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Situbondo,UNIT PELAKSANA PELAYANAN PELANGGAN SITUBONDO,UP3,71
5127,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Surabaya Barat,UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA BARAT,UP3,83
5121,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Surabaya Selatan,UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA SELATAN,UP3,118
5120,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UP3 Surabaya Utara,UNIT PELAKSANA PELAYANAN PELANGGAN SURABAYA UTARA,UP3,120
6801,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN KAPUAS RAYA,UPP,132
6856,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UP2D Kalbar,UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN BARAT,UP2D,46
6814,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UP3 Ketapang,UNIT PELAKSANA PELAYANAN PELANGGAN KETAPANG,UP3,82
6815,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UP3 Mempawah,UNIT PELAKSANA PELAYANAN PELANGGAN MEMPAWAH,UP3,82
6812,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UP3 Pontianak,UNIT PELAKSANA PELAYANAN PELANGGAN PONTIANAK,UP3,112
6813,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UP3 Sanggau,UNIT PELAKSANA PELAYANAN PELANGGAN SANGGAU,UP3,107
6811,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UP3 Singkawang,UNIT PELAKSANA PELAYANAN PELANGGAN SINGKAWANG,UP3,103
7101,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI KALIMANTAN TENGAH,UPP,143
7156,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP2D Kalselteng,UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP2D,57
7111,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP3 Banjarmasin,UNIT PELAKSANA PELAYANAN PELANGGAN BANJARMASIN,UP3,135
7113,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP3 Barabai,UNIT PELAKSANA PELAYANAN PELANGGAN BARABAI,UP3,107
7114,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP3 Kuala Kapuas,UNIT PELAKSANA PELAYANAN PELANGGAN KUALA KAPUAS,UP3,91
7112,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP3 Palangkaraya,UNIT PELAKSANA PELAYANAN PELANGGAN PALANGKARAYA,UP3,83
7116,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP3 Pangkalan Bun,UNIT PELAKSANA PELAYANAN PELANGGAN PANGKALAN BUN,UP3,95
7115,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UP3 Tanah Bumbu,UNIT PELAKSANA PELAYANAN PELANGGAN TANAH BUMBU,UP3,68
7201,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI KALIMANTAN TIMUR,UPP,127
7256,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP2D Kaltimra,UNIT PELAKSANA PENGATUR DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP2D,52
7211,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP3 Balikpapan,UNIT PELAKSANA PELAYANAN PELANGGAN BALIKPAPAN,UP3,128
7213,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP3 Berau,UNIT PELAKSANA PELAYANAN PELANGGAN BERAU,UP3,70
7214,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP3 Bontang,UNIT PELAKSANA PELAYANAN PELANGGAN BONTANG,UP3,72
7215,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP3 Kalimantan Utara,UNIT PELAKSANA PELAYANAN PELANGGAN KALIMANTAN UTARA,UP3,71
7216,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP3 Nusantara,UNIT PELAKSANA PELAYANAN PELANGGAN NUSANTARA,UP3,28
7212,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UP3 Samarinda,UNIT PELAKSANA PELAYANAN PELANGGAN SAMARINDA,UP3,143
6701,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,UNIT PELAKSANA PROYEK KETENAGALISTRIKAN PROVINSI LAMPUNG,UPP,109
6756,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UP2D Lampung,UNIT PELAKSANA PENGATUR DISTRIBUSI LAMPUNG,UP2D,41
6712,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UP3 Kota Bumi,UNIT PELAKSANA PELAYANAN PELANGGAN KOTA BUMI,UP3,94
6713,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UP3 Metro,UNIT PELAKSANA PELAYANAN PELANGGAN METRO,UP3,91
