kandidat_id,kategori_sertifikasi,tahun,skor
793,Microsoft Office,2023,71
798,Sertifikasi K3,2018,
798,IELTS,2019,73
798,TOEIC,2019,65
800,TOEFL,2025,93
801,TOEFL,2021,93
801,Sertifikat Kompetensi,2022,73
801,Pelatihan Bahasa,2020,76
805,TOEFL,2021,77
805,TOEIC,2021,60
807,Pelatihan Bahasa,2022,63
807,Pelatihan Bahasa,2021,81
807,TOEIC,2021,76
813,TOEIC,2021,95
818,Pelatihan Bahasa,2018,80
818,Sertifikat Kompetensi,2019,96
818,IELTS,2017,61
822,Sertifikat Kompetensi,2021,87
825,TOEIC,2025,65
825,Sertifikasi K3,2023,
825,TOEFL,2023,87
828,IELTS,2022,61
828,Sertifikasi K3,2020,
831,Sertifikat Kompetensi,2023,70
831,TOEFL,2023,68
831,Sertifikat Kompetensi,2025,78
836,Sertifikasi K3,2023,
836,Microsoft Office,2023,80
837,IELTS,2024,60
841,IELTS,2023,95
841,Microsoft Office,2021,94
863,Sertifikasi K3,2022,
863,IELTS,2020,71
871,Pelatihan Bahasa,2020,84
871,Sertifikasi K3,2020,
883,TOEIC,2022,92
914,Sertifikat Kompetensi,2024,90
922,Pelatihan Bahasa,2023,77
931,Sertifikat Kompetensi,2021,62
936,TOEIC,2024,70
938,IELTS,2021,94
940,TOEIC,2021,69
941,Sertifikat Kompetensi,2018,86
941,TOEIC,2017,99
955,TOEIC,2025,91
959,Microsoft Office,2024,79
961,Microsoft Office,2021,74
961,TOEFL,2021,89
961,IELTS,2020,76
964,Microsoft Office,2024,79
964,Microsoft Office,2023,60
970,Pelatihan Bahasa,2019,62
970,Microsoft Office,2018,63
970,Pelatihan Bahasa,2019,82
973,TOEFL,2021,96
977,IELTS,2019,64
978,TOEIC,2024,70
978,Microsoft Office,2023,97
984,TOEIC,2020,60
984,IELTS,2020,90
984,Sertifikat Kompetensi,2021,96
986,IELTS,2023,68
986,TOEFL,2022,86
987,IELTS,2020,67
987,Sertifikat Kompetensi,2021,95
987,TOEIC,2021,79
994,IELTS,2020,69
998,Sertifikasi K3,2017,
998,Pelatihan Bahasa,2018,92
998,IELTS,2019,84
1015,Pelatihan Bahasa,2024,88
1015,Microsoft Office,2025,79
1015,Sertifikat Kompetensi,2024,77
1023,Microsoft Office,2021,94
1023,Sertifikat Kompetensi,2021,83
1024,Microsoft Office,2024,63
1024,IELTS,2024,86
1031,Sertifikat Kompetensi,2021,88
1037,Sertifikat Kompetensi,2022,99
1037,Sertifikasi K3,2021,
1037,Sertifikasi K3,2020,
1040,TOEFL,2022,77
1041,Microsoft Office,2021,87
1044,Sertifikat Kompetensi,2022,92
1055,Pelatihan Bahasa,2018,64
1057,Pelatihan Bahasa,2022,60
1057,Sertifikasi K3,2020,
1057,Pelatihan Bahasa,2022,73
1059,Pelatihan Bahasa,2022,97
1059,Pelatihan Bahasa,2023,97
1059,TOEFL,2023,86
1070,Microsoft Office,2022,95
1078,TOEIC,2022,92
1078,Microsoft Office,2023,77
1078,TOEIC,2021,64
1081,Pelatihan Bahasa,2023,85
1081,IELTS,2022,70
1081,IELTS,2021,86
1085,Sertifikat Kompetensi,2024,61
1085,Microsoft Office,2025,67
1086,IELTS,2024,83
1097,Sertifikat Kompetensi,2023,68
1097,IELTS,2023,82
1097,Sertifikat Kompetensi,2023,90
1098,Sertifikat Kompetensi,2025,80
1098,Pelatihan Bahasa,2025,96
1106,IELTS,2024,85
1111,TOEFL,2021,70
1122,TOEIC,2022,99
1131,Sertifikasi K3,2021,
1131,TOEFL,2023,95
1135,Sertifikasi K3,2022,
1138,TOEFL,2020,96
1141,Sertifikat Kompetensi,2025,78
1141,IELTS,2025,84
1158,Sertifikat Kompetensi,2023,78
1158,Microsoft Office,2024,84
1158,TOEFL,2023,86
1166,IELTS,2023,96
1166,Pelatihan Bahasa,2023,65
1166,IELTS,2025,72
1167,TOEFL,2021,64
1167,Microsoft Office,2023,87
1168,Pelatihan Bahasa,2021,89
1171,Pelatihan Bahasa,2025,61
1173,Pelatihan Bahasa,2022,74
1173,Sertifikat Kompetensi,2022,97
1176,Sertifikasi K3,2021,
1178,Pelatihan Bahasa,2022,89
1178,IELTS,2021,82
1181,TOEIC,2021,69
1181,Microsoft Office,2022,90
1181,TOEFL,2022,60
1203,Microsoft Office,2019,85
1204,Sertifikat Kompetensi,2024,73
1204,Pelatihan Bahasa,2023,83
1204,Sertifikat Kompetensi,2023,67
1206,Sertifikasi K3,2017,
1206,TOEFL,2019,73
1206,TOEIC,2019,76
1208,Microsoft Office,2023,98
1209,Pelatihan Bahasa,2019,90
1209,TOEIC,2018,68
1209,TOEIC,2019,90
1214,Microsoft Office,2023,67
1214,TOEFL,2024,65
1222,TOEIC,2025,64
1222,Sertifikasi K3,2025,
1222,TOEIC,2024,61
1227,TOEFL,2021,61
1227,Pelatihan Bahasa,2020,73
1227,TOEFL,2020,85
1233,Microsoft Office,2024,90
1233,Sertifikasi K3,2023,
1233,IELTS,2024,84
1244,Microsoft Office,2025,91
1253,Sertifikasi K3,2018,
1253,Sertifikasi K3,2019,
1259,TOEIC,2023,66
1259,Sertifikasi K3,2022,
1261,Pelatihan Bahasa,2024,73
1262,Microsoft Office,2021,91
1262,Microsoft Office,2020,92
1262,Sertifikasi K3,2022,
1263,TOEIC,2023,61
1263,TOEIC,2023,86
1269,TOEIC,2021,62
1269,TOEIC,2022,68
1269,Microsoft Office,2020,96
1284,Microsoft Office,2021,86
1284,Microsoft Office,2021,86
1284,IELTS,2022,93
1286,Pelatihan Bahasa,2022,62
1286,Microsoft Office,2023,95
1286,TOEIC,2022,62
1290,Sertifikasi K3,2021,
1296,Sertifikasi K3,2025,
1296,Microsoft Office,2024,78
1299,TOEIC,2023,60
1299,TOEIC,2022,95
1299,TOEIC,2022,82
1302,TOEIC,2024,60
1302,Sertifikasi K3,2023,
1302,Microsoft Office,2024,95
1304,Pelatihan Bahasa,2024,79
1311,TOEIC,2022,89
1311,IELTS,2023,84
1323,Sertifikat Kompetensi,2022,85
1323,TOEIC,2022,92
1323,IELTS,2024,71
1333,Sertifikat Kompetensi,2023,85
1345,IELTS,2024,94
1345,TOEIC,2023,82
1345,IELTS,2023,64
1350,TOEFL,2021,97
1350,TOEIC,2023,85
1350,IELTS,2022,97
1351,Sertifikasi K3,2023,
1356,Pelatihan Bahasa,2023,88
1356,Sertifikasi K3,2023,
1356,Pelatihan Bahasa,2023,84
1358,Microsoft Office,2022,85
1360,TOEIC,2020,84
1368,Pelatihan Bahasa,2017,73
1368,TOEIC,2018,77
1374,IELTS,2025,70
1383,TOEIC,2019,97
1383,Sertifikat Kompetensi,2018,91
1391,Microsoft Office,2023,95
1391,Pelatihan Bahasa,2025,94
1391,TOEIC,2023,83
1392,Sertifikasi K3,2024,
1392,IELTS,2023,97
1395,Pelatihan Bahasa,2023,89
1395,IELTS,2025,60
1397,TOEFL,2020,61
1397,Microsoft Office,2020,71
1401,IELTS,2025,70
1401,IELTS,2025,85
1401,Sertifikat Kompetensi,2023,77
1416,IELTS,2024,79
1416,TOEFL,2025,79
1423,Microsoft Office,2021,71
1423,Pelatihan Bahasa,2023,75
1428,IELTS,2019,83
1428,Microsoft Office,2017,61
1433,Pelatihan Bahasa,2025,82
1436,TOEFL,2023,94
1442,Pelatihan Bahasa,2022,73
1444,Sertifikat Kompetensi,2021,96
1450,Sertifikasi K3,2025,
1450,TOEFL,2025,73
1455,TOEIC,2023,97
1461,IELTS,2024,60
1474,TOEIC,2022,79
1478,TOEIC,2022,78
1478,TOEIC,2020,68
1487,TOEIC,2023,64
1505,IELTS,2024,90
1505,Microsoft Office,2024,81
1505,Sertifikasi K3,2025,
1506,Microsoft Office,2023,88
1510,TOEFL,2025,75
1525,Microsoft Office,2023,71
1525,Microsoft Office,2024,93
1528,TOEIC,2021,80
1528,Microsoft Office,2021,77
1528,TOEFL,2022,92
1533,Pelatihan Bahasa,2020,71
1533,Sertifikat Kompetensi,2020,80
1540,Sertifikat Kompetensi,2019,85
1563,Pelatihan Bahasa,2025,64
1563,Microsoft Office,2023,95
1566,TOEFL,2025,92
1566,Sertifikat Kompetensi,2023,93
1567,Sertifikat Kompetensi,2021,98
1569,Microsoft Office,2024,73
1569,Sertifikat Kompetensi,2023,90
1569,Sertifikat Kompetensi,2024,99
1576,Sertifikasi K3,2020,
1576,IELTS,2020,90
1576,TOEFL,2020,93
1584,Pelatihan Bahasa,2024,65
1584,Pelatihan Bahasa,2024,62
1586,Pelatihan Bahasa,2019,80
1586,Sertifikat Kompetensi,2018,60
1586,Sertifikasi K3,2017,
1595,Sertifikasi K3,2024,
1597,TOEIC,2023,60
1597,Sertifikasi K3,2023,
1597,Sertifikat Kompetensi,2023,81
1601,IELTS,2025,64
1601,TOEIC,2025,74
1602,Pelatihan Bahasa,2024,63
1602,TOEFL,2024,73
1602,TOEFL,2023,94
1607,Microsoft Office,2024,94
1607,Sertifikat Kompetensi,2023,85
1607,IELTS,2024,98
1627,TOEIC,2020,68
1627,IELTS,2021,82
1628,Sertifikat Kompetensi,2018,78
1628,TOEFL,2019,75
1628,IELTS,2019,89
1634,Sertifikasi K3,2024,
1634,Sertifikat Kompetensi,2025,95
1634,Sertifikat Kompetensi,2023,73
1637,TOEFL,2021,83
1637,Sertifikasi K3,2023,
1640,Sertifikasi K3,2021,
1640,TOEIC,2022,93
1640,TOEIC,2021,91
1650,Sertifikat Kompetensi,2022,66
1661,Sertifikasi K3,2020,
1661,Sertifikat Kompetensi,2022,75
1661,Sertifikat Kompetensi,2020,63
1672,Sertifikasi K3,2021,
1672,TOEFL,2021,86
1672,TOEIC,2022,80
1683,TOEFL,2022,88
1683,TOEIC,2020,91
1683,IELTS,2021,62
1687,Sertifikat Kompetensi,2024,84
1687,Sertifikat Kompetensi,2023,91
1688,Sertifikasi K3,2024,
1688,Pelatihan Bahasa,2023,96
1688,Microsoft Office,2025,92
1689,Sertifikat Kompetensi,2022,99
1689,Microsoft Office,2021,97
1692,Sertifikasi K3,2022,
1697,Sertifikat Kompetensi,2025,79
1697,Sertifikasi K3,2024,
1698,Microsoft Office,2025,80
1698,Pelatihan Bahasa,2025,64
1700,TOEIC,2021,62
1700,Pelatihan Bahasa,2021,96
1700,TOEIC,2021,94
1704,TOEFL,2020,86
1704,IELTS,2020,87
1712,Microsoft Office,2024,81
1719,Microsoft Office,2021,69
1726,IELTS,2022,84
1726,IELTS,2020,88
1736,IELTS,2020,63
1736,Pelatihan Bahasa,2022,68
1740,Sertifikat Kompetensi,2020,86
1747,TOEFL,2018,61
1747,IELTS,2017,79
1747,Pelatihan Bahasa,2019,61
1749,TOEIC,2022,89
1750,Sertifikat Kompetensi,2023,92
1757,Pelatihan Bahasa,2022,60
1757,Sertifikat Kompetensi,2023,93
1759,Pelatihan Bahasa,2022,84
1759,TOEFL,2021,89
1759,Sertifikat Kompetensi,2021,62
1764,TOEIC,2019,64
1765,TOEFL,2021,60
1765,Microsoft Office,2023,98
1765,TOEIC,2023,83
1771,Sertifikasi K3,2024,
1774,Microsoft Office,2021,99
1774,IELTS,2021,90
1775,Sertifikasi K3,2022,
1775,Microsoft Office,2022,60
1775,TOEFL,2021,62
1788,TOEIC,2023,64
1788,Sertifikat Kompetensi,2021,63
1791,Microsoft Office,2021,69
1791,Sertifikasi K3,2022,
1794,Microsoft Office,2021,95
1794,TOEIC,2022,76
1794,TOEFL,2022,71
1802,Pelatihan Bahasa,2023,67
1802,Sertifikat Kompetensi,2025,63
1802,TOEFL,2023,78
1806,Sertifikat Kompetensi,2024,96
1806,IELTS,2024,63
1807,Sertifikat Kompetensi,2024,85
1811,Microsoft Office,2021,72
1814,TOEFL,2023,71
1814,Pelatihan Bahasa,2023,75
1814,TOEFL,2023,78
1815,IELTS,2017,78
1815,Microsoft Office,2018,89
1833,IELTS,2021,64
1833,Sertifikasi K3,2022,
1842,Pelatihan Bahasa,2023,91
1858,IELTS,2023,64
1858,Sertifikasi K3,2022,
1858,Pelatihan Bahasa,2022,60
1867,Sertifikat Kompetensi,2023,73
1867,Sertifikat Kompetensi,2024,69
1877,Microsoft Office,2023,90
1877,Sertifikasi K3,2025,
1878,TOEFL,2023,73
1878,Sertifikasi K3,2023,
1878,Sertifikat Kompetensi,2024,83
1879,IELTS,2020,86
1880,Pelatihan Bahasa,2017,86
1884,IELTS,2023,93
1887,Sertifikat Kompetensi,2021,68
1887,TOEFL,2021,83
1887,Sertifikasi K3,2022,
1890,Sertifikat Kompetensi,2024,99
1890,TOEFL,2024,69
1893,Sertifikasi K3,2021,
1893,Sertifikasi K3,2022,
1893,Sertifikasi K3,2021,
1899,TOEFL,2020,85
1899,TOEIC,2022,98
1903,Microsoft Office,2018,87
1903,IELTS,2018,95
1903,IELTS,2017,95
1912,IELTS,2022,96
1912,Sertifikat Kompetensi,2021,83
1920,Sertifikat Kompetensi,2024,78
1920,IELTS,2023,68
1923,TOEIC,2023,93
1923,TOEIC,2024,98
1923,IELTS,2025,80
1924,Microsoft Office,2024,73
1924,IELTS,2025,91
1936,Sertifikat Kompetensi,2022,83
1936,IELTS,2021,92
1936,Sertifikasi K3,2023,
1943,TOEFL,2018,70
1943,Pelatihan Bahasa,2019,96
1943,Microsoft Office,2019,68
1948,Pelatihan Bahasa,2020,65
1951,TOEFL,2017,67
1951,Pelatihan Bahasa,2018,87
1951,Sertifikat Kompetensi,2017,81
1953,Sertifikat Kompetensi,2023,94
1968,Pelatihan Bahasa,2024,95
1968,Sertifikasi K3,2025,
1968,IELTS,2025,71
1970,Pelatihan Bahasa,2025,81
1971,IELTS,2018,96
1990,IELTS,2023,92
1992,Pelatihan Bahasa,2025,99
1992,Pelatihan Bahasa,2025,73
1992,Pelatihan Bahasa,2024,76
2001,Sertifikat Kompetensi,2022,84
2001,TOEFL,2022,74
2001,Sertifikat Kompetensi,2021,82
2006,Microsoft Office,2019,77
2006,Sertifikat Kompetensi,2018,94
2006,TOEIC,2018,62
2011,IELTS,2023,75
2011,Pelatihan Bahasa,2024,92
2016,TOEFL,2020,62
2016,IELTS,2022,63
2020,Pelatihan Bahasa,2019,97
2021,TOEIC,2017,96
2021,IELTS,2019,92
2026,Sertifikat Kompetensi,2021,73
2026,Microsoft Office,2021,84
2026,Microsoft Office,2022,76
2034,Sertifikat Kompetensi,2024,86
2046,Sertifikasi K3,2023,
2046,IELTS,2023,91
2047,Sertifikat Kompetensi,2025,71
2047,TOEIC,2023,64
2050,Sertifikat Kompetensi,2025,93
2050,Sertifikasi K3,2024,
2059,Sertifikat Kompetensi,2022,85
2059,Sertifikasi K3,2020,
2059,Pelatihan Bahasa,2020,73
2071,TOEFL,2023,71
2083,IELTS,2019,65
2087,Sertifikat Kompetensi,2024,94
2087,Microsoft Office,2023,76
2087,TOEFL,2024,67
2096,Pelatihan Bahasa,2023,88
2096,TOEIC,2025,86
2096,Sertifikasi K3,2025,
2100,TOEFL,2025,91
2100,TOEIC,2023,73
2107,Sertifikat Kompetensi,2019,86
2108,Pelatihan Bahasa,2019,89
2108,Microsoft Office,2018,97
2118,IELTS,2023,68
2118,Microsoft Office,2024,63
2118,TOEFL,2023,89
2120,Sertifikasi K3,2019,
2120,Pelatihan Bahasa,2018,71
2127,TOEIC,2022,93
2127,Microsoft Office,2020,79
2128,Sertifikat Kompetensi,2021,66
2131,TOEFL,2025,93
2131,TOEIC,2024,91
2131,IELTS,2023,94
2145,TOEFL,2025,64
2145,IELTS,2023,61
2145,Microsoft Office,2025,71
2148,TOEIC,2021,97
2149,Pelatihan Bahasa,2024,69
2163,Pelatihan Bahasa,2025,79
2163,Sertifikasi K3,2023,
2163,Sertifikasi K3,2023,
2168,Sertifikasi K3,2022,
2169,TOEFL,2020,64
2169,Sertifikasi K3,2020,
2175,Sertifikat Kompetensi,2023,84
2175,TOEIC,2025,72
2176,Microsoft Office,2020,60
2176,Microsoft Office,2020,92
2176,TOEFL,2020,66
2181,Sertifikat Kompetensi,2023,87
2181,TOEFL,2023,93
2181,Pelatihan Bahasa,2025,74
2206,Microsoft Office,2017,82
2206,Sertifikat Kompetensi,2017,72
2206,Sertifikasi K3,2019,
2211,Microsoft Office,2023,73
2211,Microsoft Office,2025,99
2236,Microsoft Office,2022,64
2236,Microsoft Office,2021,62
2236,Pelatihan Bahasa,2023,86
2238,TOEIC,2020,91
2250,Microsoft Office,2025,95
2250,TOEIC,2024,96
2250,Microsoft Office,2024,98
2252,TOEFL,2022,96
2252,IELTS,2022,92
2261,Pelatihan Bahasa,2022,76
2261,Pelatihan Bahasa,2021,95
2261,Pelatihan Bahasa,2023,60
2274,IELTS,2025,94
2274,Sertifikasi K3,2025,
2274,Sertifikasi K3,2025,
2285,Sertifikasi K3,2022,
2287,IELTS,2017,66
2287,Sertifikat Kompetensi,2019,85
2287,TOEIC,2017,91
2292,IELTS,2024,84
2312,Pelatihan Bahasa,2024,97
2315,Sertifikat Kompetensi,2022,98
2315,IELTS,2021,73
2316,Sertifikat Kompetensi,2024,79
2316,Pelatihan Bahasa,2023,99
2321,Microsoft Office,2021,72
2321,TOEFL,2021,97
2322,TOEFL,2022,77
2322,IELTS,2021,96
2322,TOEIC,2023,99
2323,Sertifikat Kompetensi,2025,75
2326,Microsoft Office,2020,98
2326,Pelatihan Bahasa,2020,74
2337,Microsoft Office,2023,65
2337,TOEFL,2025,76
2340,TOEIC,2020,64
2340,IELTS,2021,97
2340,TOEFL,2021,60
2345,Pelatihan Bahasa,2018,62
2345,Pelatihan Bahasa,2018,89
2346,IELTS,2023,72
2347,IELTS,2022,70
2347,Sertifikasi K3,2023,
2353,TOEIC,2022,79
2353,Pelatihan Bahasa,2021,77
2354,Microsoft Office,2023,75
2354,IELTS,2024,92
2356,TOEFL,2021,62
2356,Pelatihan Bahasa,2020,99
2356,TOEIC,2021,80
2360,Microsoft Office,2018,88
2360,Sertifikat Kompetensi,2017,75
2366,TOEIC,2021,76
2366,TOEFL,2020,88
2366,TOEFL,2020,65
2369,Pelatihan Bahasa,2022,61
2370,Microsoft Office,2022,97
2370,Sertifikasi K3,2022,
2374,Pelatihan Bahasa,2017,63
2374,IELTS,2019,97
2384,TOEFL,2019,74
2389,TOEIC,2021,99
2389,Microsoft Office,2020,69
2389,IELTS,2020,74
2412,TOEFL,2021,72
2412,Sertifikat Kompetensi,2022,98
2415,Sertifikat Kompetensi,2023,79
2420,TOEFL,2021,82
2422,Pelatihan Bahasa,2021,66
2422,Sertifikasi K3,2022,
2427,IELTS,2025,73
2459,Sertifikasi K3,2023,
2459,Microsoft Office,2023,65
2459,IELTS,2022,78
2469,Sertifikat Kompetensi,2019,62
2469,Microsoft Office,2017,76
2473,IELTS,2025,96
2479,TOEFL,2023,96
2479,Sertifikat Kompetensi,2022,65
2483,TOEIC,2025,77
2485,Sertifikat Kompetensi,2021,80
2487,Pelatihan Bahasa,2023,65
2487,Sertifikasi K3,2023,
2487,IELTS,2024,96
2489,Pelatihan Bahasa,2019,61
2489,TOEFL,2018,91
2492,TOEFL,2020,72
2492,Pelatihan Bahasa,2020,67
2494,Sertifikat Kompetensi,2025,72
2494,TOEFL,2025,97
2497,Sertifikasi K3,2020,
2502,TOEFL,2022,87
2503,Sertifikasi K3,2023,
2521,Sertifikasi K3,2023,
2532,IELTS,2020,60
2542,Microsoft Office,2017,70
2542,TOEIC,2017,80
2542,Sertifikasi K3,2017,
2550,TOEIC,2017,72
2550,IELTS,2019,81
2550,IELTS,2017,77
2554,Microsoft Office,2023,76
