penempatan_id,pendaftaran_id,kandidat_id,tahun_program,jenis_penempatan,status_sk,sub_bidang,bidang_pembidangan,updl_id,kode_grade,unit_induk,nama_posisi,perusahaan_subholding,sumber_penempatan
122,REG0003709,2906,2025,INDUK,BELUM,Komunikasi dan Umum,SDM,8224,G2,,,,DIMODELKAN
123,REG0003715,2912,2023,INDUK,SUDAH,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,8217,G2,PT PLN (PERSERO) KANTOR PUSAT,"OFFICER RISIKO TRANSMISI SUMATERA, JAWA, MADURA, DAN BALI",,TURUNAN
124,REG0003738,2930,2024,INDUK,SUDAH,K3 dan Lingkungan,SDM,8213,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,"OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",,TURUNAN
125,REG0003739,2930,2023,SUBHOLDING,SUDAH,Komunikasi dan Umum,Manajemen Digital,8213,G1,,,ICON,DIMODELKAN
126,REG0003744,2934,2025,SUBHOLDING,BELUM,Manajemen Konstruksi dan Pengadaan,Pembangkitan,8214,G2,,,IP,DIMODELKAN
127,REG0003762,2950,2019,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8224,G2,PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,OFFICER PELAKSANA PENGADAAN,,TURUNAN
128,REG0003776,2961,2023,INDUK,SUDAH,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,8218,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,OFFICER LOGISTIK LAYANAN PELANGGAN,,TURUNAN
129,REG0003858,3025,2023,SUBHOLDING,SUDAH,Transmisi dan Gardu Induk,Distribusi,8214,G2,,,ES,DIMODELKAN
130,REG0003863,3029,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8216,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
131,REG0003864,3030,2023,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8218,G2,PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,OFFICER KEUANGAN DAN AKUNTANSI,,TURUNAN
132,REG0003881,3044,2023,INDUK,SUDAH,Keuangan dan Akuntansi,Keuangan,8217,G3,PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,SENIOR OFFICER KEUANGAN DAN ANGGARAN,,TURUNAN
133,REG0003884,3047,2025,INDUK,BELUM,K3 dan Lingkungan,SDM,8216,G1,,,,DIMODELKAN
134,REG0003928,3082,2023,INDUK,SUDAH,Niaga dan Pemasaran,Niaga,8220,G2,PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,,TURUNAN
135,REG0003961,3112,2025,INDUK,BELUM,Komunikasi dan Umum,SDM,8218,G2,,,,DIMODELKAN
136,REG0003973,3122,2022,SUBHOLDING,SUDAH,Teknologi Informasi,Manajemen Digital,8219,G2,,,ICON,DIMODELKAN
137,REG0004001,3146,2025,SUBHOLDING,BELUM,Distribusi,Pembangkitan,8211,G1,,,IP,DIMODELKAN
