no,tahun_program,holding_ap_sh,holding_subholding,unit_pelaksana,jabatan,jurusan_pendidikan,jumlah,pendidikan,keterangan,sub_bidang,level,usulan_sebelum_potong
64,2019,HOLDING,UID Jakarta Raya,,OFFICER KINERJA,S1 Teknik Industri/Teknik Material,2,S1,Rekrut 2019,Perencanaan dan Kinerja,2,4.776
65,2019,HOLDING,UIP JBT,,OFFICER PENGENDALIAN PROYEK,S1 Logistik/Supply Chain Management,2,S1,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,2,4.736
66,2019,HOLDING,UID Jawa Tengah & DIY,,OFFICER KINERJA KEUANGAN DAN UMUM,S1 Akuntansi/Administrasi Fiskal,2,S1,Rekrut 2019,Keuangan dan Akuntansi,2,4.562
67,2019,HOLDING,UID Jawa Timur,,OFFICER KINERJA JARINGAN DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,4.545
68,2019,HOLDING,UID Jawa Timur,,OFFICER PRIORITY ACCOUNT EXECUTIVE,S1 Komunikasi/Hubungan Masyarakat,2,S1,Rekrut 2019,Komunikasi dan Umum,2,4.545
69,2019,HOLDING,UIT JBB,,TECHNICIAN PEMELIHARAAN GARDU INDUK,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Transmisi dan Gardu Induk,2,4.534
70,2019,HOLDING,UIP JBB,,OFFICER PENGENDALIAN PROYEK,S1 Logistik/Supply Chain Management,2,S1,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,2,4.487
71,2019,HOLDING,Kantor Pusat,,OFFICER PEMBAYARAN UNIT,S1 Komunikasi/Hubungan Masyarakat,2,S1,Rekrut 2019,Komunikasi dan Umum,2,4.251
72,2019,HOLDING,UID S2JB,,OFFICER KINERJA JARINGAN DAN KONSTRUKSI DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,2,S1,3T,Distribusi,2,4.169
73,2019,HOLDING,UID Kalselteng,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,2,S1,3T,Distribusi,2,4.032
74,2019,HOLDING,UID S2JB,,OFFICER KINERJA KEUANGAN DAN UMUM,S1 Akuntansi/Administrasi Fiskal,2,S1,3T,Keuangan dan Akuntansi,2,4.025
75,2019,HOLDING,UIW Maluku&Malut,,OFFICER KINERJA JARINGAN DAN KONSTRUKSI DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,2,S1,3T,Distribusi,2,3.998
76,2019,HOLDING,UIW Maluku&Malut,,TECHNICIAN OPERASI DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,2,S1,3T,Distribusi,2,3.998
77,2019,HOLDING,UID Sumut,,OFFICER LOGISTIK LAYANAN PELANGGAN,S1 Logistik/Supply Chain Management,2,S1,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,2,3.955
78,2019,HOLDING,UIW Papua&Papua Barat,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,2,S1,3T,Distribusi,2,3.951
79,2019,HOLDING,UIP Maluku dan Papua,,OFFICER PENGENDALIAN KONSTRUKSI,S1 Logistik/Supply Chain Management,2,S1,3T,Manajemen Konstruksi dan Pengadaan,2,3.929
80,2019,HOLDING,UID Lampung,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,2,S1,Rekrut 2019,Niaga dan Pemasaran,2,3.872
81,2019,HOLDING,UID Jawa Tengah & DIY,,OFFICER LOGISTIK LAYANAN PELANGGAN,S1 Logistik/Supply Chain Management,2,S1,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,2,3.85
82,2019,HOLDING,UID Jawa Tengah & DIY,,TECHNICIAN PENGELOLAAN KONSTRUKSI DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,3.85
83,2019,HOLDING,UID Banten,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,3.829
84,2019,HOLDING,UID Kalbar,,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,S1 Manajemen Pemasaran/Digital Marketing Dan Analytics,2,S1,3T,Niaga dan Pemasaran,2,3.782
85,2019,HOLDING,UIP JBTB,,OFFICER PENGENDALIAN PROYEK,S1 Logistik/Supply Chain Management,2,S1,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,2,3.771
86,2019,HOLDING,PUSHARLIS,,TECHNICIAN PRODUKSI,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,3.731
87,2019,HOLDING,UID Jakarta Raya,,OFFICER KINERJA KEUANGAN DAN UMUM,S1 Akuntansi/Administrasi Fiskal,2,S1,Rekrut 2019,Keuangan dan Akuntansi,2,6.437
88,2019,HOLDING,P3B Sumatera,,OFFICER KINERJA KEUANGAN DAN UMUM,S1 Akuntansi/Administrasi Fiskal,2,S1,Rekrut 2019,Keuangan dan Akuntansi,2,6.409
89,2019,HOLDING,UID Jakarta Raya,,OFFICER PRIORITY ACCOUNT EXECUTIVE,S1 Komunikasi/Hubungan Masyarakat,2,S1,Rekrut 2019,Komunikasi dan Umum,2,6.229
90,2019,HOLDING,UID Jawa Tengah & DIY,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,6.131
91,2019,HOLDING,UID Jawa Timur,,OFFICER KINERJA,S1 Teknik Industri/Teknik Material,2,S1,Rekrut 2019,Perencanaan dan Kinerja,2,6.06
92,2019,HOLDING,UID Jawa Timur,,OFFICER KINERJA TRANSAKSI ENERGI LISTRIK,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,5.757
93,2019,HOLDING,UID Jawa Timur,,TECHNICIAN PENGELOLAAN KONSTRUKSI DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,2,S1,Rekrut 2019,Distribusi,2,5.757
94,2019,HOLDING,PUSMANPRO,,"JUNIOR OFFICER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN",D3 Keselamatan Dan Kesehatan Kerja/Kesehatan Masyarakat K3,2,D3,Rekrut 2019,K3 dan Lingkungan,1,5.697
95,2019,HOLDING,PUSMANPRO,,JUNIOR TECHNICIAN MANAJEMEN KONSTRUKSI LISTRIK,D3 Logistik/Supply Chain Management,2,D3,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,1,5.697
96,2019,HOLDING,UID Bali,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Distribusi,1,5.649
97,2019,HOLDING,UIW Papua&Papua Barat,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,2,D3,3T,Niaga dan Pemasaran,1,5.08
98,2019,HOLDING,UID Jawa Timur,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,2,D3,Rekrut 2019,Niaga dan Pemasaran,1,4.996
99,2019,HOLDING,UID Jawa Timur,,JUNIOR TECHNICIAN PENGATURAN OPERASI,D3 Teknik Kimia/Teknik Lingkungan,2,D3,Rekrut 2019,Perencanaan Sistem,1,4.996
100,2019,HOLDING,UIT JBB,,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,4.922
101,2019,HOLDING,UID Suluttenggo,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,3T,Distribusi,1,4.903
102,2019,HOLDING,UIP JBT,,JUNIOR OFFICER ADMINISTRASI DAN UMUM,D3 Komunikasi/Hubungan Masyarakat,2,D3,Rekrut 2019,Komunikasi dan Umum,1,4.876
103,2019,HOLDING,UID Jawa Tengah & DIY,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Distribusi,1,4.838
104,2019,HOLDING,UID Jawa Tengah & DIY,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,2,D3,Rekrut 2019,Niaga dan Pemasaran,1,4.633
105,2019,HOLDING,UID Sulselrabar,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,3T,Distribusi,1,4.524
106,2019,HOLDING,UID Kalbar,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,3T,Distribusi,1,4.5
107,2019,HOLDING,UIT JBT,,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,4.443
108,2019,HOLDING,UIW Papua&Papua Barat,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,3T,Distribusi,1,4.409
109,2019,HOLDING,UID Sumut,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Distribusi,1,4.276
110,2019,HOLDING,P3B Sumatera,,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,4.186
111,2019,HOLDING,UID Kalbar,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,2,D3,3T,Niaga dan Pemasaran,1,4.154
112,2019,HOLDING,P3B Sumatera,,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK TEGANGAN EKSTRA TINGGI,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,4.128
113,2019,HOLDING,UIP JBB,,JUNIOR OFFICER ADMINISTRASI DAN UMUM,D3 Komunikasi/Hubungan Masyarakat,2,D3,Rekrut 2019,Komunikasi dan Umum,1,4.124
114,2019,HOLDING,UID Sumut,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Distribusi,1,4.025
115,2019,HOLDING,UID Jawa Tengah & DIY,,JUNIOR TECHNICIAN PDKB,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Distribusi,1,4.015
116,2019,HOLDING,UID Sumut,,JUNIOR OFFICER PELAYANAN PELANGGAN,D3 Manajemen Pemasaran/Digital Marketing Dan Analytics,2,D3,Rekrut 2019,Niaga dan Pemasaran,1,3.899
117,2019,HOLDING,P3B Sumatera,,JUNIOR TECHNICIAN PDKB SUTT/SUTET,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,3.896
118,2019,HOLDING,PUSDIKLAT,,JUNIOR OFFICER ADMINITRASI DAN UMUM,D3 Komunikasi/Hubungan Masyarakat,2,D3,Rekrut 2019,Komunikasi dan Umum,1,3.855
119,2019,HOLDING,UID Suluttenggo,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,3T,Distribusi,1,6.304
120,2019,HOLDING,UIW Papua&Papua Barat,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,3T,Distribusi,1,6.231
121,2019,HOLDING,UID Kalselteng,,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,3T,Distribusi,1,6.11
122,2019,HOLDING,UID Kalselteng,,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,D3 Teknik Elektro/Teknik Listrik,2,D3,3T,Distribusi,1,6.11
123,2019,HOLDING,UIT JBTB,,JUNIOR TECHNICIAN JARINGAN TRANSMISI DAN GARDU INDUK,D3 Teknik Elektro/Teknik Listrik,2,D3,Rekrut 2019,Transmisi dan Gardu Induk,1,6.088
124,2019,HOLDING,UIP JBTB,,JUNIOR OFFICER ADMINISTRASI DAN UMUM,D3 Komunikasi/Hubungan Masyarakat,2,D3,Rekrut 2019,Komunikasi dan Umum,1,5.927
125,2019,HOLDING,UID Kalbar,,OFFICER KINERJA JARINGAN DAN KONSTRUKSI DISTRIBUSI,S1 Teknik Elektro/Teknik Listrik,1,S1,3T,Distribusi,2,2.836
126,2019,HOLDING,PUSERTIF,,TECHNICIAN KOMISIONING SISTEM PEMBANGKIT,S1 Teknik Mesin/Konversi Energi,1,S1,Rekrut 2019,Pembangkitan,2,2.81
127,2019,HOLDING,UIP JBB,,TECHNICIAN PENGENDALIAN KONSTRUKSI,S1 Logistik/Supply Chain Management,1,S1,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,2,2.778
128,2019,HOLDING,P3B Sumatera,,OFFICER ENJINIRING,S1 Teknik Kimia/Teknik Lingkungan,1,S1,Rekrut 2019,Perencanaan Sistem,2,2.747
129,2019,HOLDING,UID Suluttenggo,,TECHNICIAN PDKB,S1 Teknik Elektro/Teknik Listrik,1,S1,3T,Distribusi,2,2.737
130,2019,HOLDING,UID Jawa Timur,,TECHNICIAN PENGATURAN OPERASI,S1 Teknik Kimia/Teknik Lingkungan,1,S1,Rekrut 2019,Perencanaan Sistem,2,2.727
131,2019,HOLDING,UID Jawa Barat,,OFFICER ADMINISTRASI DAN UMUM,S1 Komunikasi/Hubungan Masyarakat,1,S1,Rekrut 2019,Komunikasi dan Umum,2,2.698
132,2019,HOLDING,UID Kalselteng,,OFFICER KINERJA KEUANGAN DAN UMUM,S1 Akuntansi/Administrasi Fiskal,1,S1,3T,Keuangan dan Akuntansi,2,2.688
133,2019,HOLDING,UIT JBT,,OFFICER KINERJA KONSTRUKSI,S1 Logistik/Supply Chain Management,1,S1,Rekrut 2019,Manajemen Konstruksi dan Pengadaan,2,2.649
134,2019,HOLDING,UIP3B Kalimantan,,TECHNICIAN PDKB GI/GITET,S1 Teknik Elektro/Teknik Listrik,1,S1,3T,Transmisi dan Gardu Induk,2,2.605
135,2019,HOLDING,UIT JBB,,OFFICER ENJINIRING,S1 Teknik Kimia/Teknik Lingkungan,1,S1,Rekrut 2019,Perencanaan Sistem,2,2.591
