profesi_id,program_studi,min_ipk
F00149,MANAJEMEN PEMASARAN,2.75
F00149,TEKNIK INDUSTRI,2.75
F00150,AKUNTANSI,2.75
F00151,KEUANGAN,2.75
F00151,MANAJEMEN KEUANGAN,2.75
F00152,TEKNIK ELEKTRO,2.75
F00153,TEKNIK MESIN,2.75
F00154,TEKNIK ELEKTRO,2.75
F00155,TEKNIK ELEKTRO,2.75
F00156,TEKNIK SIPIL,2.75
F00157,TEKNIK MESIN,2.75
F00158,MANAJEMEN BISNIS,2.75
F00158,MANAJEMEN PEMASARAN,2.75
F00158,TEKNIK INDUSTRI,2.75
F00159,AKUNTANSI,2.75
F00160,KEUANGAN,2.75
F00160,MANAJEMEN KEUANGAN,2.75
F00161,TEKNIK ELEKTRO,2.75
F00185,ADMINISTRASI,2.5
F00185,AKUNTANSI,2.5
F00185,MANAJEMEN,2.5
F00185,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00185,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00185,TEKNIK ELEKTRO,2.5
F00185,TEKNIK INDUSTRI,2.5
F00185,TEKNIK SIPIL,2.5
F00186,ADMINISTRASI,2.5
F00186,AKUNTANSI,2.5
F00186,MANAJEMEN,2.5
F00186,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00186,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00186,TEKNIK ELEKTRO,2.5
F00186,TEKNIK INDUSTRI,2.5
F00186,TEKNIK SIPIL,2.5
F00187,ADMINISTRASI,2.5
F00187,AKUNTANSI,2.5
F00187,BISNIS,2.5
F00187,HUBUNGAN MASYARAKAT,2.5
F00187,HUKUM,2.5
F00187,KESELAMATAN DAN KESEHATAN KERJA,2.5
F00187,KOMUNIKASI,2.5
F00187,KONVERSI ENERGI,2.5
F00187,MANAJEMEN,2.5
F00187,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00187,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00187,PSIKOLOGI,2.5
F00187,TEKNIK ELEKTRO,2.5
F00187,TEKNIK INDUSTRI,2.5
F00187,TEKNIK MESIN,2.5
F00188,ADMINISTRASI,2.5
F00188,MANAJEMEN,2.5
F00188,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00188,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00188,TEKNIK ELEKTRO,2.5
F00188,TEKNIK MESIN,2.5
F00188,TEKNIK SIPIL,2.5
F00189,TEKNIK MESIN,2.5
F00190,ADMINISTRASI,2.5
F00190,AKUNTANSI,2.5
F00190,MANAJEMEN,2.5
F00190,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00190,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00190,TEKNIK ELEKTRO,2.5
F00190,TEKNIK INDUSTRI,2.5
F00190,TEKNIK SIPIL,2.5
F00191,ADMINISTRASI,2.5
F00191,AKUNTANSI,2.5
F00191,MANAJEMEN,2.5
F00191,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00191,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00191,TEKNIK ELEKTRO,2.5
F00191,TEKNIK INDUSTRI,2.5
F00191,TEKNIK SIPIL,2.5
F00192,ADMINISTRASI,2.5
F00192,AKUNTANSI,2.5
F00192,BISNIS,2.5
F00192,HUBUNGAN MASYARAKAT,2.5
F00192,HUKUM,2.5
F00192,KESELAMATAN DAN KESEHATAN KERJA,2.5
F00192,KOMUNIKASI,2.5
F00192,KONVERSI ENERGI,2.5
F00192,MANAJEMEN,2.5
F00192,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00192,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00192,PSIKOLOGI,2.5
F00192,TEKNIK ELEKTRO,2.5
F00192,TEKNIK INDUSTRI,2.5
F00192,TEKNIK MESIN,2.5
F00193,ADMINISTRASI,2.5
F00193,MANAJEMEN,2.5
F00193,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00193,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00193,TEKNIK ELEKTRO,2.5
F00193,TEKNIK MESIN,2.5
F00193,TEKNIK SIPIL,2.5
F00194,TEKNIK MESIN,2.5
F00195,ADMINISTRASI,2.5
F00195,AKUNTANSI,2.5
F00195,MANAJEMEN,2.5
F00195,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00195,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00195,TEKNIK ELEKTRO,2.5
F00195,TEKNIK INDUSTRI,2.5
F00195,TEKNIK SIPIL,2.5
F00196,ADMINISTRASI,2.5
F00196,AKUNTANSI,2.5
F00196,MANAJEMEN,2.5
F00196,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00196,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00196,TEKNIK ELEKTRO,2.5
F00196,TEKNIK INDUSTRI,2.5
F00196,TEKNIK SIPIL,2.5
F00197,ADMINISTRASI,2.5
F00197,AKUNTANSI,2.5
F00197,BISNIS,2.5
F00197,HUBUNGAN MASYARAKAT,2.5
F00197,HUKUM,2.5
F00197,KESELAMATAN DAN KESEHATAN KERJA,2.5
F00197,KOMUNIKASI,2.5
F00197,KONVERSI ENERGI,2.5
F00197,MANAJEMEN,2.5
F00197,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00197,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00197,PSIKOLOGI,2.5
F00197,TEKNIK ELEKTRO,2.5
F00197,TEKNIK INDUSTRI,2.5
F00197,TEKNIK MESIN,2.5
F00198,ADMINISTRASI,2.5
F00198,MANAJEMEN,2.5
F00198,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00198,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00198,TEKNIK ELEKTRO,2.5
F00198,TEKNIK MESIN,2.5
F00198,TEKNIK SIPIL,2.5
F00199,TEKNIK MESIN,2.5
F00200,ADMINISTRASI,2.5
F00200,AKUNTANSI,2.5
F00200,MANAJEMEN,2.5
F00200,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00200,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00200,TEKNIK ELEKTRO,2.5
F00200,TEKNIK INDUSTRI,2.5
F00200,TEKNIK SIPIL,2.5
F00201,ADMINISTRASI,2.5
F00201,AKUNTANSI,2.5
F00201,MANAJEMEN,2.5
F00201,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00201,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00201,TEKNIK ELEKTRO,2.5
F00201,TEKNIK INDUSTRI,2.5
F00201,TEKNIK SIPIL,2.5
F00202,ADMINISTRASI,2.5
F00202,AKUNTANSI,2.5
F00202,BISNIS,2.5
F00202,HUBUNGAN MASYARAKAT,2.5
F00202,HUKUM,2.5
F00202,KESELAMATAN DAN KESEHATAN KERJA,2.5
F00202,KOMUNIKASI,2.5
F00202,KONVERSI ENERGI,2.5
F00202,MANAJEMEN,2.5
F00202,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00202,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00202,PSIKOLOGI,2.5
F00202,TEKNIK ELEKTRO,2.5
F00202,TEKNIK INDUSTRI,2.5
F00202,TEKNIK MESIN,2.5
F00203,ADMINISTRASI,2.5
F00203,MANAJEMEN,2.5
F00203,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00203,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00203,TEKNIK ELEKTRO,2.5
F00203,TEKNIK MESIN,2.5
F00203,TEKNIK SIPIL,2.5
F00204,TEKNIK MESIN,2.5
F00205,ADMINISTRASI,2.5
F00205,AKUNTANSI,2.5
F00205,MANAJEMEN,2.5
F00205,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00205,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00205,TEKNIK ELEKTRO,2.5
F00205,TEKNIK INDUSTRI,2.5
F00205,TEKNIK SIPIL,2.5
F00206,ADMINISTRASI,2.5
F00206,AKUNTANSI,2.5
F00206,MANAJEMEN,2.5
F00206,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00206,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00206,TEKNIK ELEKTRO,2.5
F00206,TEKNIK INDUSTRI,2.5
F00206,TEKNIK SIPIL,2.5
F00207,ADMINISTRASI,2.5
F00207,AKUNTANSI,2.5
F00207,BISNIS,2.5
F00207,HUBUNGAN MASYARAKAT,2.5
F00207,HUKUM,2.5
F00207,KESELAMATAN DAN KESEHATAN KERJA,2.5
F00207,KOMUNIKASI,2.5
F00207,KONVERSI ENERGI,2.5
F00207,MANAJEMEN,2.5
F00207,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00207,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00207,PSIKOLOGI,2.5
F00207,TEKNIK ELEKTRO,2.5
F00207,TEKNIK INDUSTRI,2.5
F00207,TEKNIK MESIN,2.5
F00208,ADMINISTRASI,2.5
F00208,MANAJEMEN,2.5
F00208,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00208,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00208,TEKNIK ELEKTRO,2.5
F00208,TEKNIK MESIN,2.5
F00208,TEKNIK SIPIL,2.5
F00209,TEKNIK MESIN,2.5
F00210,ADMINISTRASI,2.5
F00210,AKUNTANSI,2.5
F00210,MANAJEMEN,2.5
F00210,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00210,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00210,TEKNIK ELEKTRO,2.5
F00210,TEKNIK INDUSTRI,2.5
F00210,TEKNIK SIPIL,2.5
F00211,ADMINISTRASI,2.5
F00211,AKUNTANSI,2.5
F00211,MANAJEMEN,2.5
F00211,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00211,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00211,TEKNIK ELEKTRO,2.5
F00211,TEKNIK INDUSTRI,2.5
F00211,TEKNIK SIPIL,2.5
F00212,ADMINISTRASI,2.5
F00212,AKUNTANSI,2.5
F00212,BISNIS,2.5
F00212,HUBUNGAN MASYARAKAT,2.5
F00212,HUKUM,2.5
F00212,KESELAMATAN DAN KESEHATAN KERJA,2.5
F00212,KOMUNIKASI,2.5
F00212,KONVERSI ENERGI,2.5
F00212,MANAJEMEN,2.5
F00212,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00212,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00212,PSIKOLOGI,2.5
F00212,TEKNIK ELEKTRO,2.5
F00212,TEKNIK INDUSTRI,2.5
F00212,TEKNIK MESIN,2.5
F00213,ADMINISTRASI,2.5
F00213,MANAJEMEN,2.5
F00213,PROGRAM STUDI LAINNYA NON TEKNIK,2.5
F00213,PROGRAM STUDI LAINNYA TEKNIK,2.5
F00213,TEKNIK ELEKTRO,2.5
F00213,TEKNIK MESIN,2.5
F00213,TEKNIK SIPIL,2.5
F00214,TEKNIK MESIN,2.5
F00215,TEKNIK ELEKTRO,3.0
F00215,TEKNIK MESIN,3.0
F00215,TEKNIK SIPIL,3.0
F00216,TEKNIK ELEKTRO,3.0
F00216,TEKNIK MESIN,3.0
F00216,ENERGI BARU TERBARUKAN,3.0
F00216,DATA SCIENCE,3.0
F00216,KESELAMATAN DAN KESEHATAN KERJA,3.0
F00216,KONVERSI ENERGI,3.0
F00216,TEKNIK GEODESI,3.0
F00216,TEKNIK INDUSTRI,3.0
F00216,TEKNIK INFORMATIKA,3.0
F00216,TEKNIK KIMIA,3.0
F00216,TEKNIK LINGKUNGAN,3.0
F00216,TEKNIK SIPIL,3.0
F00216,SAFETY ENGINEERING,3.0
F00216,TEKNIK MATERIAL,3.0
F00217,ADMINISTRASI,3.0
F00217,AKUNTANSI,3.0
F00217,BISNIS,3.0
F00217,HUBUNGAN MASYARAKAT,3.0
F00217,KOMUNIKASI,3.0
F00217,MANAJEMEN,3.0
F00217,PSIKOLOGI,3.0
F00217,ADMINISTRASI FISKAL,3.0
F00217,BISNIS ANALIS,3.0
F00217,MANAJEMEN BISNIS,3.0
F00217,KESEHATAN MASYARAKAT K3,3.0
F00217,ADMINISTRASI BISNIS,3.0
F00218,TEKNIK MESIN,3.0
F00218,TEKNIK LISTRIK,3.0
F00219,AKUNTANSI,3.0
F00219,KOMUNIKASI,3.0
F00219,MANAJEMEN,3.0
F00219,PSIKOLOGI,3.0
F00219,MANAJEMEN BISNIS,3.0
F00219,MANAJEMEN KEUANGAN,3.0
F00219,TEKNIK LISTRIK,3.0
F00219,TEKNIK MESIN,3.0
F00220,HUKUM,3.0
F00221,HUKUM,3.0
F00221,PUBLIC POLICY,3.0
F00222,HUKUM,3.25
F00222,PROGRAM STUDI LAINNYA NON TEKNIK,3.25
F00222,PROGRAM STUDI LAINNYA TEKNIK,3.25
F00223,AKUNTANSI,3.0
F00224,TEKNIK ELEKTRO,3.0
F00224,TEKNIK MESIN,3.0
F00224,TEKNIK INDUSTRI,3.0
F00224,TEKNIK LINGKUNGAN,3.0
F00224,TEKNIK SIPIL,3.0
F00224,AKUNTANSI,3.0
F00224,KESELAMATAN DAN KESEHATAN KERJA,3.0
F00224,KEUANGAN,3.0
F00224,LINGKUNGAN,3.0
F00224,SUPPLY CHAIN MANAGEMENT,3.0
F00224,LOGISTIK,3.0
F00225,TEKNIK ELEKTRO,3.0
F00225,TEKNIK INFORMATIKA,3.0
F00225,ADMINISTRASI BISNIS,3.0
F00225,KEUANGAN,3.0
F00226,TEKNIK ELEKTRO,3.0
F00226,ADMINISTRASI BISNIS,3.0
F00226,MANAJEMEN,3.0
