nama_posisi,jenjang_utama,level_utama,jenjang_lain,jumlah_pegawai,jumlah_unit_induk
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW PAPUA DAN PAPUA BARAT,G3,14,,1,1
ASSISTANT MANAGER IPP DAN EXCESS POWER,G3,13,,13,13
ASSISTANT MANAGER JARINGAN,G3,13,,1,1
ASSISTANT MANAGER JARINGAN DAN KONSTRUKSI,G3,14,,11,2
ASSISTANT MANAGER JARINGAN DAN KONSTRUKSI DISTRIBUSI,G3,14,,74,14
ASSISTANT MANAGER JARINGAN DISTRIBUSI,G3,14,,78,10
ASSISTANT MANAGER KEAMANAN,G3,13,,1,1
ASSISTANT MANAGER KESELAMATAN DAN KESEHATAN KERJA,G3,13,,1,1
"ASSISTANT MANAGER KESELAMATAN, KESEHATAN KERJA DAN KEAMANAN",G3,13,,11,11
"ASSISTANT MANAGER KESELAMATAN, KESEHATAN KERJA, DAN KEAMANAN",G3,13,,30,30
"ASSISTANT MANAGER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",G3,13,,4,4
ASSISTANT MANAGER KEUANGAN DAN ANGGARAN,G3,13,,4,4
ASSISTANT MANAGER KEUANGAN DAN PAJAK,G3,13,,1,1
ASSISTANT MANAGER KEUANGAN DAN UMUM,G3,14,,236,31
"ASSISTANT MANAGER KEUANGAN PERIZINAN, PERTANAHAN DAN UMUM",G3,14,,4,1
"ASSISTANT MANAGER KEUANGAN, KOMUNIKASI DAN UMUM",G3,14,,5,1
"ASSISTANT MANAGER KEUANGAN, PERIZINAN, PERTANAHAN DAN UMUM",G3,14,,35,10
ASSISTANT MANAGER KINERJA PEMBANGKIT DAN TRANSMISI,G3,13,,1,1
ASSISTANT MANAGER KOMISIONING SISTEM PEMBANGKIT,G3,13,,1,1
ASSISTANT MANAGER KOMUNIKASI,G3,13,,6,6
ASSISTANT MANAGER KOMUNIKASI DAN MANAJEMEN STAKEHOLDER,G3,13,,21,21
ASSISTANT MANAGER KOMUNIKASI DAN TJSL,G3,13,,13,13
"ASSISTANT MANAGER KOMUNIKASI, MANAJEMEN STAKEHOLDER, DAN TJSL",G3,13,,1,1
ASSISTANT MANAGER KONSTRUKSI,G3,14,,20,4
ASSISTANT MANAGER KONSTRUKSI DAN PENYALURAN,G3,14,,21,5
ASSISTANT MANAGER KONSTRUKSI DISTRIBUSI,G3,14,,79,10
ASSISTANT MANAGER KONTRAK 1 JAKARTA,G3,14,,1,1
ASSISTANT MANAGER KONTRAK 1 SULAWESI SELATAN,G3,14,,1,1
ASSISTANT MANAGER KONTRAK 1 SUMSEL,G3,14,,1,1
ASSISTANT MANAGER KONTRAK 2 JAKARTA,G3,14,,1,1
ASSISTANT MANAGER KONTRAK 2 SULAWESI SELATAN,G3,14,,1,1
ASSISTANT MANAGER KONTRAK 2 SUMSEL,G3,14,,1,1
ASSISTANT MANAGER KONTRAK BANGKA BELITUNG,G3,14,,1,1
ASSISTANT MANAGER KONTRAK BANTEN,G3,14,,1,1
ASSISTANT MANAGER KONTRAK JAWA BARAT,G3,14,,1,1
ASSISTANT MANAGER KONTRAK JAWA TENGAH DAN D.I. YOGYAKARTA,G3,14,,1,1
ASSISTANT MANAGER KONTRAK JAWA TIMUR,G3,14,,1,1
ASSISTANT MANAGER KONTRAK KALIMANTAN BARAT,G3,14,,1,1
ASSISTANT MANAGER KONTRAK PAPUA,G3,14,,1,1
ASSISTANT MANAGER KONTRAK RIAU DAN KEPULAUAN RIAU,G3,14,,1,1
ASSISTANT MANAGER KONTRAK SUMBAR,G3,14,,1,1
ASSISTANT MANAGER KONTRAK SUMUT,G3,14,,1,1
ASSISTANT MANAGER LABORATORIUM,G3,13,,4,3
ASSISTANT MANAGER LAYANAN PRIORITAS DAN PAE,G3,13,,6,6
ASSISTANT MANAGER LINGKUNGAN,G3,13,,42,42
ASSISTANT MANAGER LOGISTIK,G3,13,,14,14
ASSISTANT MANAGER MANAJEMEN BILLING,G3,13,,22,22
ASSISTANT MANAGER MANAJEMEN KONSTRUKSI JARINGAN,G3,14,,5,1
ASSISTANT MANAGER MANAJEMEN KONSTRUKSI PEMBANGKITAN,G3,14,,4,1
ASSISTANT MANAGER MANAJEMEN MATERIAL DAN LOGISTIK,G3,13,,1,1
ASSISTANT MANAGER MANAJEMEN RISIKO DAN KEPATUHAN,G3,13,,2,2
"ASSISTANT MANAGER MANAJEMEN RISIKO, KEPATUHAN DAN SISTEM MANAJEMEN TERINTEGRASI",G3,13,,4,4
"ASSISTANT MANAGER MANAJEMEN RISIKO, KEPATUHAN DAN SISTEM MANAJEMENTERINTEGRASI",G3,13,,4,4
"ASSISTANT MANAGER MANAJEMEN RISIKO, KEPATUHAN, DAN SISTEM MANAJEMEN TERINTEGRASI",G3,13,,35,35
"ASSISTANT MANAGER MANAJEMEN RISIKO, KEPATUHAN, DAN SISTEM MANAJEMENTERINTEGRASI",G3,13,,1,1
ASSISTANT MANAGER MANAJEMEN STAKEHOLDER,G3,13,,6,6
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA PUSDIKLAT",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA PUSERTIF",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA PUSHARLIS",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA PUSLITBANG",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA PUSMANPRO",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIK TANJUNG JATI B",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP JBT",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP JBTB",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP KALBAGTIM",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP MALUKU DAN PAPUA",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP SULAWESI",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP SUMBAGSEL",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP SUMBAGTENG",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP SUMBAGUT",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP2B",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW BANGKA BELITUNG",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYAUIP KALBAGBAR",G3,14,,1,1
"ASSISTANT MANAGER MANAJEMEN TALENTA, HUBUNGAN INDUSTRIAL DAN ALIH DAYAUIP NUSRA",G3,14,,1,1
ASSISTANT MANAGER MASTER STATION,G3,13,,2,2
ASSISTANT MANAGER NIAGA,G3,14,,20,2
ASSISTANT MANAGER NIAGA DAN PEMASARAN,G3,14,,147,21
ASSISTANT MANAGER OPERASI DAN PEMELIHARAAN PEMBANGKITAN,G3,14,,7,5
ASSISTANT MANAGER OPERASI DAN PEMELIHARAAN SISTEM DISTRIBUSI DAN PDKB,G3,13,,1,1
ASSISTANT MANAGER OPERASI SISTEM,G3,14,,14,6
ASSISTANT MANAGER OPERASI SISTEM BANTEN,G3,14,,1,1
ASSISTANT MANAGER OPERASI SISTEM DAN TRANSMISI,G3,14,,1,1
ASSISTANT MANAGER OPERASI SISTEM DISTRIBUSI,G3,14,,16,16
ASSISTANT MANAGER OPERASI SISTEM DISTRIBUSI DAN SCADA,G3,13,,4,4
ASSISTANT MANAGER OPERASI SISTEM DISTRIBUSI I,G3,14,,2,2
ASSISTANT MANAGER OPERASI SISTEM DISTRIBUSI II,G3,14,,1,1
ASSISTANT MANAGER OPERASI SISTEM DKI JAKARTA,G3,14,,1,1
ASSISTANT MANAGER OPERASI SISTEM I,G3,14,,2,2
ASSISTANT MANAGER OPERASI SISTEM II,G3,14,,2,2
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI ACEH,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI BALI,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI BANGKA BELITUNG,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI BANTEN 1,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI BANTEN 2,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI BENGKULU,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI D.I. YOGYAKARTA,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAKARTA 1,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAKARTA 2,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAKARTA 3,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAKARTA 4,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAKARTA 5,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAMBI,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA BARAT 1,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA BARAT 2,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA TENGAH,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA TIMUR 1,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA TIMUR 2,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI JAWA TIMUR 3,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI KALIMANTAN BARAT,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH 1,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH 2,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI KEPULAUAN RIAU,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI LAMPUNG,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI MALUKU,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI MALUKU UTARA,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI NTB,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI NTT,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI PAPUA,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI PAPUA BARAT,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI RIAU 1,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI RIAU 2,G3,14,,1,1
"ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SULAWESI SELATAN, SULAWESI TENGGARA DAN SULAWESI BARAT 1",G3,14,,1,1
"ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SULAWESI SELATAN, SULAWESI TENGGARA DAN SULAWESI BARAT 2",G3,14,,1,1
"ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SULAWESI SELATAN, SULAWESI TENGGARA DAN SULAWESI BARAT 3",G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SULAWESI TENGAH,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SULAWESI UTARA DAN GORONTALO,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SUMATERA BARAT,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SUMATERA SELATAN 1,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SUMATERA SELATAN 2,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SUMATERA UTARA 1,G3,14,,1,1
ASSISTANT MANAGER OPERASIONAL SISTEM TEKNOLOGI INFORMASI SUMATERA UTARA 2,G3,14,,1,1
ASSISTANT MANAGER PAJAK DAN ASURANSI,G3,13,,28,28
ASSISTANT MANAGER PDKB,G3,13,,21,20
"ASSISTANT MANAGER PDKB, ALAT BERAT, DAN MOBILE SUBSTATION",G3,13,,4,3
ASSISTANT MANAGER PEKERJAAN DALAM KEADAAN BERTEGANGAN (PDKB),G3,14,,34,6
ASSISTANT MANAGER PELAKSANA PENGADAAN,G3,13,,5,5
ASSISTANT MANAGER PELAKSANAAN ASSESMENT TECHNICAL COMPETENCE,G3,13,,1,1
ASSISTANT MANAGER PELAKSANAAN PEMBELAJARAN,G3,14,,11,1
ASSISTANT MANAGER PELAKSANAAN SERTIFIKASI,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN ASESMEN,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL AMBON,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BALIKPAPAN,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BANDA ACEH,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BANDAR LAMPUNG,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BANDUNG,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL BANJARBARU,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL DENPASAR,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL DEPOK,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL JAKARTA,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL JAYAPURA,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL KANTOR PUSAT,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL KUPANG,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL MAKASSAR,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL MANADO,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL MATARAM,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL MEDAN,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PADANG,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PALEMBANG,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PANGKAL PINANG,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PEKANBARU,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL PONTIANAK,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL SEMARANG,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL SURABAYA,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN HUMAN CAPITAL TANGERANG,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN REGION 1,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN REGION 2,G3,13,,1,1
ASSISTANT MANAGER PELAYANAN REGION 3,G3,13,,1,1
"ASSISTANT MANAGER PELAYANAN, KEUANGAN, DAN UMUM",G3,14,,11,1
ASSISTANT MANAGER PEMASARAN,G3,14,,20,2
ASSISTANT MANAGER PEMBAYARAN KANTOR PUSAT,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN PUSAT PENUNJANG,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN TERPUSAT,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN UID & UIW-1,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN UID & UIW-2,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN UID & UIW-3,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN UID 1,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN UID 2,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN UIP,G3,14,,1,1
ASSISTANT MANAGER PEMBAYARAN UIT,G3,14,,1,1
ASSISTANT MANAGER PEMELIHARAAN,G3,14,,17,17
ASSISTANT MANAGER PEMELIHARAAN DAN PDKB,G3,13,,4,4
ASSISTANT MANAGER PEMELIHARAAN GARDU INDUK,G3,13,,2,2
ASSISTANT MANAGER PEMELIHARAAN GARDU INDUK DAN JARINGAN,G3,13,,2,1
ASSISTANT MANAGER PEMELIHARAAN JARINGAN,G3,13,,2,2
ASSISTANT MANAGER PEMELIHARAAN OTOMASI DAN CATU DAYA,G3,13,,2,1
ASSISTANT MANAGER PEMELIHARAAN PROTEKSI,G3,13,,2,1
ASSISTANT MANAGER PENERTIBAN PEMAKAIAN TENAGA LISTRIK,G3,13,,17,17
ASSISTANT MANAGER PENGELOLAAN APLIKASI DAN DATA OPERASI REAL TIME,G3,14,,2,2
