rumpun,sub_bidang,bidang_sub,bobot,sumber_bobot,catatan
K3,K3 dan Lingkungan,NON-TEKNIK,0.8200,aturan,
K3,Distribusi,TEKNIK,0.1000,aturan,K3 lapangan distribusi
K3,Transmisi dan Gardu Induk,TEKNIK,0.0800,aturan,
Akuntansi dan Perpajakan,Keuangan dan Akuntansi,NON-TEKNIK,0.7200,aturan,
Akuntansi dan Perpajakan,Audit dan Risiko,NON-TEKNIK,0.1800,aturan,
Akuntansi dan Perpajakan,Perencanaan dan Kinerja,NON-TEKNIK,0.1000,aturan,
Keuangan,Keuangan dan Akuntansi,NON-TEKNIK,0.6800,aturan,
Keuangan,Audit dan Risiko,NON-TEKNIK,0.1700,aturan,
Keuangan,Perencanaan dan Kinerja,NON-TEKNIK,0.1500,aturan,
Manajemen dan Bisnis,Niaga dan Pemasaran,NON-TEKNIK,0.3000,aturan,
Manajemen dan Bisnis,Perencanaan dan Kinerja,NON-TEKNIK,0.2400,aturan,
Manajemen dan Bisnis,Komunikasi dan Umum,NON-TEKNIK,0.2000,aturan,
Manajemen dan Bisnis,Manajemen Konstruksi dan Pengadaan,NON-TEKNIK,0.1400,aturan,sisi administrasi kontrak & pengadaan
Manajemen dan Bisnis,Sumber Daya Manusia,NON-TEKNIK,0.1200,aturan,
Pemasaran dan Niaga,Niaga dan Pemasaran,NON-TEKNIK,0.8500,aturan,
Pemasaran dan Niaga,Komunikasi dan Umum,NON-TEKNIK,0.1500,aturan,
Hukum,Hukum dan Kepatuhan,NON-TEKNIK,0.7800,aturan,
Hukum,Audit dan Risiko,NON-TEKNIK,0.1400,aturan,
Hukum,Manajemen Konstruksi dan Pengadaan,NON-TEKNIK,0.0800,aturan,legal kontrak
Komunikasi dan Humas,Komunikasi dan Umum,NON-TEKNIK,0.6800,aturan,
Komunikasi dan Humas,Niaga dan Pemasaran,NON-TEKNIK,0.3200,aturan,pelayanan pelanggan
Psikologi dan SDM,Sumber Daya Manusia,NON-TEKNIK,0.8400,aturan,
Psikologi dan SDM,Komunikasi dan Umum,NON-TEKNIK,0.1600,aturan,
Administrasi,Komunikasi dan Umum,NON-TEKNIK,0.4400,aturan,
Administrasi,Niaga dan Pemasaran,NON-TEKNIK,0.2200,aturan,
Administrasi,Keuangan dan Akuntansi,NON-TEKNIK,0.2000,aturan,
Administrasi,Sumber Daya Manusia,NON-TEKNIK,0.1400,aturan,
Logistik dan Rantai Pasok,Manajemen Konstruksi dan Pengadaan,NON-TEKNIK,0.7800,aturan,
Logistik dan Rantai Pasok,Perencanaan dan Kinerja,NON-TEKNIK,0.2200,aturan,
Lainnya Teknik,Distribusi,TEKNIK,0.5207,proporsional_headcount,4720 pegawai G1+G2 dari 9065 di bidang TEKNIK
Lainnya Teknik,Transmisi dan Gardu Induk,TEKNIK,0.3040,proporsional_headcount,2756 pegawai G1+G2 dari 9065 di bidang TEKNIK
Lainnya Teknik,Perencanaan Sistem,TEKNIK,0.0805,proporsional_headcount,730 pegawai G1+G2 dari 9065 di bidang TEKNIK
Lainnya Teknik,Pembangkitan,TEKNIK,0.0676,proporsional_headcount,613 pegawai G1+G2 dari 9065 di bidang TEKNIK
Lainnya Teknik,Proteksi dan Kontrol,TEKNIK,0.0271,proporsional_headcount,246 pegawai G1+G2 dari 9065 di bidang TEKNIK
Lainnya Non-Teknik,Niaga dan Pemasaran,NON-TEKNIK,0.2160,proporsional_headcount,1708 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,Manajemen Konstruksi dan Pengadaan,NON-TEKNIK,0.1920,proporsional_headcount,1518 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,Komunikasi dan Umum,NON-TEKNIK,0.1767,proporsional_headcount,1397 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,Keuangan dan Akuntansi,NON-TEKNIK,0.1387,proporsional_headcount,1097 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,Perencanaan dan Kinerja,NON-TEKNIK,0.1171,proporsional_headcount,926 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,Sumber Daya Manusia,NON-TEKNIK,0.0507,proporsional_headcount,401 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,K3 dan Lingkungan,NON-TEKNIK,0.0463,proporsional_headcount,366 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,Teknologi Informasi,NON-TEKNIK,0.0290,proporsional_headcount,229 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,Hukum dan Kepatuhan,NON-TEKNIK,0.0172,proporsional_headcount,136 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
Lainnya Non-Teknik,Audit dan Risiko,NON-TEKNIK,0.0164,proporsional_headcount,130 pegawai G1+G2 dari 7908 di bidang NON-TEKNIK
