profesi_id,program_id,gelombang_id,angkatan,tahun_program,kode_profesi,nama_profesi,jenjang,kota_rekrutmen,tgl_buka,tgl_tutup,min_ipk,umur_maks,sumber_rekrutmen,jenis_program,penempatan,status_sumber,kuota,diterima_target
F00026,P0010,G2019-070,70,2019,70.26,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - KUPANG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00027,P0011,G2019-070,70,2019,70.27,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - PEKANBARU,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00028,P0011,G2019-070,70,2019,70.28,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - PEKANBARU,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00029,P0011,G2019-070,70,2019,70.29,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - PEKANBARU,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00030,P0012,G2019-070,70,2019,70.30,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - SURABAYA,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00031,P0012,G2019-070,70,2019,70.31,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - SURABAYA,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00032,P0012,G2019-070,70,2019,70.32,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 - SURABAYA,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00033,P0013,G2019-070,70,2019,70.33,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI BANDUNG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,SUBHOLDING,DIMODELKAN,32,32
F00034,P0013,G2019-070,70,2019,70.34,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI BANDUNG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,SUBHOLDING,DIMODELKAN,18,18
F00035,P0013,G2019-070,70,2019,70.35,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI BANDUNG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,SUBHOLDING,DIMODELKAN,2,2
F00036,P0014,G2019-070,70,2019,70.36,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI LAMPUNG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00037,P0014,G2019-070,70,2019,70.37,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI LAMPUNG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00038,P0014,G2019-070,70,2019,70.38,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI LAMPUNG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00039,P0015,G2019-070,70,2019,70.39,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI MANADO,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00040,P0015,G2019-070,70,2019,70.40,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI MANADO,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00041,P0015,G2019-070,70,2019,70.41,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI MANADO,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00042,P0016,G2019-070,70,2019,70.42,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI PONTIANAK,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00043,P0016,G2019-070,70,2019,70.43,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI PONTIANAK,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00044,P0016,G2019-070,70,2019,70.44,REKRUTMEN UMUM PLN GROUP TINGKAT S1/D4 & D3 LOKASI PONTIANAK,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00045,P0017,G2019-070,70,2019,70.45,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : JAYAPURA,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00046,P0017,G2019-070,70,2019,70.46,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : JAYAPURA,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00047,P0017,G2019-070,70,2019,70.47,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : JAYAPURA,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00048,P0018,G2019-070,70,2019,70.48,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : KUPANG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00049,P0018,G2019-070,70,2019,70.49,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : KUPANG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00050,P0018,G2019-070,70,2019,70.50,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : KUPANG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00051,P0019,G2019-070,70,2019,70.51,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : PALEMBANG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00052,P0019,G2019-070,70,2019,70.52,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : PALEMBANG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00053,P0019,G2019-070,70,2019,70.53,REKRUTMEN UMUM TINGKAT S1/D-IV DAN D-III LOKASI : PALEMBANG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00054,P0020,G2019-070,70,2019,70.54,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Balikpapan,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00055,P0020,G2019-070,70,2019,70.55,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Balikpapan,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00056,P0020,G2019-070,70,2019,70.56,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Balikpapan,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00057,P0021,G2019-070,70,2019,70.57,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Bandar Lampung,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,SUBHOLDING,DIMODELKAN,32,32
F00058,P0021,G2019-070,70,2019,70.58,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Bandar Lampung,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,SUBHOLDING,DIMODELKAN,18,18
F00059,P0021,G2019-070,70,2019,70.59,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Bandar Lampung,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,SUBHOLDING,DIMODELKAN,2,2
F00060,P0022,G2019-070,70,2019,70.60,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Denpasar,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,SUBHOLDING,DIMODELKAN,32,32
F00061,P0022,G2019-070,70,2019,70.61,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Denpasar,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,SUBHOLDING,DIMODELKAN,18,18
F00062,P0022,G2019-070,70,2019,70.62,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Denpasar,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,SUBHOLDING,DIMODELKAN,2,2
F00063,P0023,G2019-070,70,2019,70.63,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Makassar,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00064,P0023,G2019-070,70,2019,70.64,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Makassar,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00065,P0023,G2019-070,70,2019,70.65,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Makassar,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00066,P0024,G2019-070,70,2019,70.66,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Manado,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00067,P0024,G2019-070,70,2019,70.67,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Manado,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00068,P0024,G2019-070,70,2019,70.68,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Manado,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00069,P0025,G2019-070,70,2019,70.69,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Pekanbaru,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00070,P0025,G2019-070,70,2019,70.70,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Pekanbaru,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00071,P0025,G2019-070,70,2019,70.71,Rekrutmen Umum Tingkat S1/D.IV&D.III; - Lokasi Pekanbaru,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00072,P0026,G2019-070,70,2019,70.72,Rekrutmen Umum Unsyiah Career Day Tingkat S1/D.IV & D.III,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,CAMPUS,INDUK,DIMODELKAN,20,20
F00073,P0026,G2019-070,70,2019,70.73,Rekrutmen Umum Unsyiah Career Day Tingkat S1/D.IV & D.III,D-III,Seluruh Indonesia,,,3.0,25,mandiri,CAMPUS,INDUK,DIMODELKAN,11,11
F00074,P0026,G2019-070,70,2019,70.74,Rekrutmen Umum Unsyiah Career Day Tingkat S1/D.IV & D.III,S2,Seluruh Indonesia,,,3.0,30,mandiri,CAMPUS,INDUK,DIMODELKAN,1,1
F00075,P0027,G2019-071,71,2019,71.75,REKRUTMEN PLN GROUP S1/D4 & D3 - AIRLANGGA CAREER FAIR,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,CAMPUS,INDUK,DIMODELKAN,20,20
F00076,P0027,G2019-071,71,2019,71.76,REKRUTMEN PLN GROUP S1/D4 & D3 - AIRLANGGA CAREER FAIR,D-III,Seluruh Indonesia,,,3.0,25,mandiri,CAMPUS,INDUK,DIMODELKAN,11,11
F00077,P0027,G2019-071,71,2019,71.77,REKRUTMEN PLN GROUP S1/D4 & D3 - AIRLANGGA CAREER FAIR,S2,Seluruh Indonesia,,,3.0,30,mandiri,CAMPUS,INDUK,DIMODELKAN,1,1
F00078,P0028,G2019-071,71,2019,71.78,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - BALIKPAPAN,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00079,P0028,G2019-071,71,2019,71.79,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - BALIKPAPAN,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00080,P0028,G2019-071,71,2019,71.80,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - BALIKPAPAN,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00081,P0029,G2019-071,71,2019,71.81,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - BANDUNG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,SUBHOLDING,DIMODELKAN,32,32
F00082,P0029,G2019-071,71,2019,71.82,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - BANDUNG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,SUBHOLDING,DIMODELKAN,18,18
F00083,P0029,G2019-071,71,2019,71.83,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - BANDUNG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,SUBHOLDING,DIMODELKAN,1,1
F00084,P0030,G2019-071,71,2019,71.84,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - JAKARTA,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00085,P0030,G2019-071,71,2019,71.85,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - JAKARTA,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00086,P0030,G2019-071,71,2019,71.86,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - JAKARTA,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00087,P0031,G2019-071,71,2019,71.87,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - MEDAN,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00088,P0031,G2019-071,71,2019,71.88,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - MEDAN,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00089,P0031,G2019-071,71,2019,71.89,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - MEDAN,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00090,P0032,G2019-071,71,2019,71.90,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - PALEMBANG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00091,P0032,G2019-071,71,2019,71.91,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - PALEMBANG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00092,P0032,G2019-071,71,2019,71.92,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - PALEMBANG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00093,P0033,G2019-071,71,2019,71.93,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - YOGYAKARTA,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00094,P0033,G2019-071,71,2019,71.94,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - YOGYAKARTA,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00095,P0033,G2019-071,71,2019,71.95,REKRUTMEN PLN GROUP TINGKAT S1/D4 & D3 (2019) - YOGYAKARTA,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00096,P0034,G2019-071,71,2019,71.96,REKRUTMEN PLN GROUP TINGKAT S1/D4 &D3; (2019) - SURABAYA,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00097,P0034,G2019-071,71,2019,71.97,REKRUTMEN PLN GROUP TINGKAT S1/D4 &D3; (2019) - SURABAYA,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00098,P0034,G2019-071,71,2019,71.98,REKRUTMEN PLN GROUP TINGKAT S1/D4 &D3; (2019) - SURABAYA,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00099,P0035,G2019-072,72,2019,72.99,REKRUTMEN PLN GROUP S1/D-IV & D-III TAHUN 2019 LOKASI MEDAN,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00100,P0035,G2019-072,72,2019,72.100,REKRUTMEN PLN GROUP S1/D-IV & D-III TAHUN 2019 LOKASI MEDAN,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00101,P0035,G2019-072,72,2019,72.101,REKRUTMEN PLN GROUP S1/D-IV & D-III TAHUN 2019 LOKASI MEDAN,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00102,P0036,G2019-072,72,2019,72.102,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI BANJARMASIN,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00103,P0036,G2019-072,72,2019,72.103,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI BANJARMASIN,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00104,P0036,G2019-072,72,2019,72.104,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI BANJARMASIN,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00105,P0037,G2019-072,72,2019,72.105,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI JAKARTA,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00106,P0037,G2019-072,72,2019,72.106,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI JAKARTA,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00107,P0037,G2019-072,72,2019,72.107,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI JAKARTA,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00108,P0038,G2019-072,72,2019,72.108,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI KUPANG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00109,P0038,G2019-072,72,2019,72.109,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI KUPANG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00110,P0038,G2019-072,72,2019,72.110,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI KUPANG,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00111,P0039,G2019-072,72,2019,72.111,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI MAKASSAR,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00112,P0039,G2019-072,72,2019,72.112,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI MAKASSAR,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
F00113,P0039,G2019-072,72,2019,72.113,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D-III LOKASI MAKASSAR,S2,Seluruh Indonesia,,,3.0,30,mandiri,REGULER,INDUK,DIMODELKAN,1,1
F00114,P0040,G2019-072,72,2019,72.114,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D3 LOKASI PALEMBANG,S1/D-IV,Seluruh Indonesia,,,3.0,27,mandiri,REGULER,INDUK,DIMODELKAN,20,20
F00115,P0040,G2019-072,72,2019,72.115,REKRUTMEN PLN GROUP TINGKAT S1/D-IV & D3 LOKASI PALEMBANG,D-III,Seluruh Indonesia,,,3.0,25,mandiri,REGULER,INDUK,DIMODELKAN,11,11
