nama_posisi,kelompok_jabatan,fungsi,jenjang_utama,level_utama,bidang,sub_bidang,bidang_pembidangan,kata_kunci_pemicu,is_entry_level,jumlah_pegawai,jumlah_unit_induk
ASSISTANT MANAGER DIGITAL SERVICE DAN CUSTOMER EXPERIENCE,ASSISTANT MANAGER,DIGITAL SERVICE DAN CUSTOMER EXPERIENCE,G3,13,NON-TEKNIK,Teknologi Informasi,Sumber Daya Manusia,DIGITAL,0,22,22
"ASSISTANT MANAGER EFISIENSI, PENGUKURAN DAN MUTU SISTEM DISTRIBUSI",ASSISTANT MANAGER,"EFISIENSI, PENGUKURAN DAN MUTU SISTEM DISTRIBUSI",G3,13,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,1,1
ASSISTANT MANAGER ELEKTROMEKANIK,ASSISTANT MANAGER,ELEKTROMEKANIK,G3,13,TEKNIK,Pembangkitan,Pembangkitan,ELEKTROMEKANIK,0,1,1
ASSISTANT MANAGER ENJINIRING,ASSISTANT MANAGER,ENJINIRING,G3,14,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,ENJINIRING,0,8,6
ASSISTANT MANAGER ENJINIRING SIPIL,ASSISTANT MANAGER,ENJINIRING SIPIL,G3,13,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,ENJINIRING SIPIL,0,3,3
ASSISTANT MANAGER EVALUASI SISTEM,ASSISTANT MANAGER,EVALUASI SISTEM,G3,13,TEKNIK,Perencanaan Sistem,Perencanaan Sistem,EVALUASI SISTEM,0,4,4
ASSISTANT MANAGER FASILITAS OPERASI,ASSISTANT MANAGER,FASILITAS OPERASI,G3,14,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,FASILITAS,0,34,25
ASSISTANT MANAGER FASILITAS OPERASI BANTEN,ASSISTANT MANAGER,FASILITAS OPERASI BANTEN,G3,14,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,FASILITAS,0,1,1
ASSISTANT MANAGER FASILITAS OPERASI DKI JAKARTA,ASSISTANT MANAGER,FASILITAS OPERASI DKI JAKARTA,G3,14,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,FASILITAS,0,1,1
ASSISTANT MANAGER FASILITAS PEMELIHARAAN,ASSISTANT MANAGER,FASILITAS PEMELIHARAAN,G3,13,NON-TEKNIK,Komunikasi dan Umum,Sumber Daya Manusia,FASILITAS,0,2,2
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID ACEH,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID ACEH,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID BALI,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID BALI,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAKARTA RAYA,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAKARTA RAYA,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA BARAT,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA BARAT,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA TENGAH DAN D.I. YOGYAKARTA,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA TENGAH DAN D.I. YOGYAKARTA,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA TIMUR,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID JAWA TIMUR,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALBAR,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALBAR,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALSELTENG,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALSELTENG,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALTIMRA,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID KALTIMRA,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID LAMPUNG,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID LAMPUNG,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID RIAU DAN KEPRI,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID RIAU DAN KEPRI,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID S2JB,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID S2JB,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SULSELRABAR,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SULSELRABAR,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SULUTTENGGO,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SULUTTENGGO,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SUMATERA BARAT,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SUMATERA BARAT,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SUMATERA UTARA,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UID SUMATERA UTARA,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B KALIMANTAN,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B KALIMANTAN,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B SULAWESI,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B SULAWESI,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B SUMATERA,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIP3B SUMATERA,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBB,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBB,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBT,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBT,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBTB,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIT JBTB,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW MALUKU DAN MALUKU UTARA,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW MALUKU DAN MALUKU UTARA,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW NTB,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW NTB,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW NTT,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW NTT,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW PAPUA DAN PAPUA BARAT,ASSISTANT MANAGER,HUBUNGAN INDUSTRIAL DAN ALIH DAYA UIW PAPUA DAN PAPUA BARAT,G3,14,NON-TEKNIK,Sumber Daya Manusia,Sumber Daya Manusia,HUBUNGAN INDUSTRIAL,0,1,1
ASSISTANT MANAGER IPP DAN EXCESS POWER,ASSISTANT MANAGER,IPP DAN EXCESS POWER,G3,13,TEKNIK,Pembangkitan,Pembangkitan,EXCESS POWER,0,13,13
ASSISTANT MANAGER JARINGAN,ASSISTANT MANAGER,JARINGAN,G3,13,TEKNIK,Distribusi,Distribusi,JARINGAN,0,1,1
ASSISTANT MANAGER JARINGAN DAN KONSTRUKSI,ASSISTANT MANAGER,JARINGAN DAN KONSTRUKSI,G3,14,TEKNIK,Distribusi,Distribusi,JARINGAN,0,11,2
ASSISTANT MANAGER JARINGAN DAN KONSTRUKSI DISTRIBUSI,ASSISTANT MANAGER,JARINGAN DAN KONSTRUKSI DISTRIBUSI,G3,14,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,74,14
ASSISTANT MANAGER JARINGAN DISTRIBUSI,ASSISTANT MANAGER,JARINGAN DISTRIBUSI,G3,14,TEKNIK,Distribusi,Distribusi,DISTRIBUSI,0,78,10
ASSISTANT MANAGER KEAMANAN,ASSISTANT MANAGER,KEAMANAN,G3,13,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,KEAMANAN,0,1,1
ASSISTANT MANAGER KESELAMATAN DAN KESEHATAN KERJA,ASSISTANT MANAGER,KESELAMATAN DAN KESEHATAN KERJA,G3,13,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,KESELAMATAN,0,1,1
"ASSISTANT MANAGER KESELAMATAN, KESEHATAN KERJA DAN KEAMANAN",ASSISTANT MANAGER,"KESELAMATAN, KESEHATAN KERJA DAN KEAMANAN",G3,13,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,KESELAMATAN,0,11,11
"ASSISTANT MANAGER KESELAMATAN, KESEHATAN KERJA, DAN KEAMANAN",ASSISTANT MANAGER,"KESELAMATAN, KESEHATAN KERJA, DAN KEAMANAN",G3,13,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,KESELAMATAN,0,30,30
"ASSISTANT MANAGER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",ASSISTANT MANAGER,"KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN",G3,13,NON-TEKNIK,K3 dan Lingkungan,Manajemen Konstruksi dan Pengadaan,KESELAMATAN,0,4,4
ASSISTANT MANAGER KEUANGAN DAN ANGGARAN,ASSISTANT MANAGER,KEUANGAN DAN ANGGARAN,G3,13,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,KEUANGAN,0,4,4
ASSISTANT MANAGER KEUANGAN DAN PAJAK,ASSISTANT MANAGER,KEUANGAN DAN PAJAK,G3,13,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,KEUANGAN,0,1,1
ASSISTANT MANAGER KEUANGAN DAN UMUM,ASSISTANT MANAGER,KEUANGAN DAN UMUM,G3,14,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,KEUANGAN,0,236,31
"ASSISTANT MANAGER KEUANGAN PERIZINAN, PERTANAHAN DAN UMUM",ASSISTANT MANAGER,"KEUANGAN PERIZINAN, PERTANAHAN DAN UMUM",G3,14,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PERTANAHAN,0,4,1
"ASSISTANT MANAGER KEUANGAN, KOMUNIKASI DAN UMUM",ASSISTANT MANAGER,"KEUANGAN, KOMUNIKASI DAN UMUM",G3,14,NON-TEKNIK,Keuangan dan Akuntansi,Keuangan dan Akuntansi,KEUANGAN,0,5,1
"ASSISTANT MANAGER KEUANGAN, PERIZINAN, PERTANAHAN DAN UMUM",ASSISTANT MANAGER,"KEUANGAN, PERIZINAN, PERTANAHAN DAN UMUM",G3,14,NON-TEKNIK,Manajemen Konstruksi dan Pengadaan,Manajemen Konstruksi dan Pengadaan,PERTANAHAN,0,35,10
ASSISTANT MANAGER KINERJA PEMBANGKIT DAN TRANSMISI,ASSISTANT MANAGER,KINERJA PEMBANGKIT DAN TRANSMISI,G3,13,TEKNIK,Transmisi dan Gardu Induk,Transmisi dan Gardu Induk,TRANSMISI,0,1,1
