unit_induk,nama_posisi,jenjang,jumlah_pegawai
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,66
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,65
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,65
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,64
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,JUNIOR TECHNICIAN PDKB,G1,63
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,63
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,SENIOR OFFICER PERFORMANCE ASSISTANT to MANAGER,G3,62
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,62
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,SENIOR OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G3,61
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,61
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,SENIOR OFFICER KINERJA DAN ADMINISTRASI TRANSMISI DAN GARDU INDUK,G3,61
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",JUNIOR TECHNICIAN PDKB,G1,60
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT","TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN LAYANAN PELANGGAN",G2,60
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",TEAM LEADER PELAYANAN PELANGGAN,G2,60
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,60
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,60
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,JUNIOR TECHNICIAN PDKB,G1,59
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,58
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,58
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,57
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,57
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,TEAM LEADER SALES RETAIL,G2,55
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,55
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,TECHNICIAN PENGENDALIAN OPERASI DAN PEMELIHARAAN TRANSMISI DAN GARDU INDUK,G2,55
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TEAM LEADER SALES RETAIL,G2,53
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,53
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,TECHNICIAN PDKB,G2,52
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,52
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,JUNIOR TECHNICIAN OPERASI DISTRIBUSI,G1,51
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER LOGISTIK LAYANAN PELANGGAN,G2,51
PT PLN (PERSERO) KANTOR PUSAT,OFFICER VERIFIKASI,G2,50
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI SELATAN, SULAWESI TENGGARA, DAN SULAWESI BARAT",JUNIOR OFFICER PELAYANAN PELANGGAN,G1,50
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,50
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,50
PT PLN (PERSERO) KANTOR PUSAT,OFFICER HUKUM,G2,49
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,49
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,49
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,OFFICER KINERJA,G2,49
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,47
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,47
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,TECHNICIAN PDKB,G2,46
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU","TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN LAYANAN PELANGGAN",G2,46
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",TEAM LEADER PELAYANAN PELANGGAN,G2,46
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,46
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,46
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,45
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,45
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA SELATAN, JAMBI, DAN BENGKULU",TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,45
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,44
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,JUNIOR TECHNICIAN PDKB SUTT/SUTET,G1,44
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,43
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,43
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,TECHNICIAN PDKB,G2,43
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,TECHNICIAN MANAJEMEN KONSTRUKSI PEMBANGKITAN,G2,42
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,42
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KINERJA JARINGAN DISTRIBUSI,G2,42
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,"JUNIOR TECHNICIAN PEMELIHARAAN PROTEKSI, METER, DAN OTOMASI TRANSMISI DAN GARDU INDUK",G1,42
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,42
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TECHNICIAN PENGELOLAAN KONSTRUKSI DISTRIBUSI,G2,41
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,G1,41
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,"JUNIOR TECHNICIAN PEMELIHARAAN PROTEKSI, METER, DAN OTOMASI TRANSMISI DAN GARDU INDUK",G1,40
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",OFFICER KINERJA FASILITAS OPERASI,G2,40
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN",G2,40
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,TECHNICIAN PDKB,G2,39
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,JUNIOR TECHNICIAN PDKB,G1,39
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,JUNIOR TECHNICIAN PDKB GI/GITET,G1,39
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,TEAM LEADER PELAYANAN PELANGGAN,G2,38
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,38
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,38
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,38
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN TRANSMISI DAN GARDU INDUK",G2,38
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,TEAM LEADER PEMELIHARAAN GARDU INDUK,G2,38
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,TEAM LEADER PEMELIHARAAN JARINGAN TRANSMISI,G2,38
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,"TEAM LEADER PEMELIHARAAN PROTEKSI, METER, DAN OTOMASI TRANSMISI DAN GARDU INDUK",G2,38
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,JUNIOR TECHNICIAN OPERASI PUSAT LISTRIK,G1,38
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANAN LAYANAN PELANGGAN",G2,37
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,37
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,37
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",OFFICER KINERJA DAN ADMINISTRASI LAYANAN PELANGGAN,G2,37
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,37
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KINERJA KONSTRUKSI DISTRIBUSI,G2,36
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,OFFICER KINERJA KEUANGAN DAN UMUM,G2,36
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO","TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN, DAN KEAMANANLAYANAN PELANGGAN",G2,36
"PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SULAWESI UTARA, SULAWESI TENGAH DAN GORONTALO",TEAM LEADER PELAYANAN PELANGGAN,G2,36
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,35
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,35
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,SENIOR OFFICER PERFORMANCE ASSISTANT TO MANAGER,G3,35
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,JUNIOR TECHNICIAN PDKB SUTT/SUTET,G1,35
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,35
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,TEAM LEADER SALES RETAIL,G2,34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,OFFICER KINERJA KEUANGAN DAN UMUM,G2,34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,TEAM LEADER PELAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,JUNIOR TECHNICIAN PDKB,G1,34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,OFFICER LOGISTIK LAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,OFFICER KINERJA DAN PERENCANAAN,G2,34
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,JUNIOR TECHNICIAN PEMELIHARAAN JARINGAN TRANSMISI,G1,34
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,TEAM LEADER PELAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,34
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,JUNIOR TECHNICIAN OPERASI PUSAT LISTRIK,G1,34
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,33
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,TEAM LEADER PELAYANAN PELANGGAN,G2,33
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,33
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,33
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA BARAT,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,33
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,"TEAM LEADER KESELAMATAN, KESEHATAN KERJA, LINGKUNGAN DAN KEAMANAN LAYANAN PELANGGAN",G2,33
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,TECHNICIAN PRODUKSI,G2,32
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,OFFICER KINERJA KEUANGAN DAN UMUM,G2,32
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,32
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,32
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,TEAM LEADER TRANSAKSI ENERGI LAYANAN PELANGGAN,G2,32
PT PLN (PERSERO) KANTOR PUSAT,SENIOR OFFICER VERIFIKASI,G3,31
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER KINERJA KEUANGAN DAN UMUM,G2,31
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,JUNIOR TECHNICIAN TEKNIK LAYANAN PELANGGAN,G1,31
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI RIAU DAN KEPULAUAN RIAU,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,31
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI SUMATERA UTARA,JUNIOR OFFICER PELAYANAN PELANGGAN,G1,31
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,JUNIOR TECHNICIAN PEMELIHARAAN GARDU INDUK,G1,31
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,JUNIOR TECHNICIAN TRANSAKSI ENERGI LAYANAN PELANGGAN,G1,31
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,TEAM LEADER PELAYANAN PELANGGAN,G2,31
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,TEAM LEADER TEKNIK LAYANAN PELANGGAN,G2,31
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,OFFICER PRIORITY ACCOUNT EXECUTIVE,G2,30
