unit_induk,nama_pendek,bulan,realisasi
PT PLN (PERSERO) PUSAT PENDIDIKAN DAN PELATIHAN (CORPORATE UNIVERSITY),PUSDIKLAT,2026-03,432
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2024-12,265
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-01,264
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-02,265
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-03,265
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-04,264
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-05,262
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-06,260
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-07,260
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-08,259
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-11,260
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2025-12,260
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2026-01,260
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2026-02,261
PT PLN (PERSERO) PUSAT SERTIFIKASI,PUSERTIF,2026-03,260
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2024-12,235
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-01,235
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-02,235
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-03,233
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-04,234
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-05,233
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-06,233
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-07,233
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-08,232
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-11,233
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2025-12,232
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2026-01,234
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2026-02,234
PT PLN (PERSERO) PUSAT PEMELIHARAAN KETENAGALISTRIKAN,PUSHARLIS,2026-03,235
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2024-12,101
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-01,101
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-02,100
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-03,100
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-04,100
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-05,99
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-06,99
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-07,99
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-08,98
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-11,98
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2025-12,98
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2026-01,97
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2026-02,96
PT PLN (PERSERO) PUSAT PENELITIAN DAN PENGEMBANGAN KETENAGALISTRIKAN,PUSLITBANG,2026-03,96
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2024-12,377
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-01,377
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-02,376
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-03,376
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-04,376
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-05,372
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-06,371
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-07,371
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-08,371
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-11,369
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2025-12,367
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2026-01,365
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2026-02,365
PT PLN (PERSERO) PUSAT MANAJEMEN PROYEK,PUSMANPRO,2026-03,367
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2024-12,811
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-01,810
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-02,821
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-03,824
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-04,820
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-05,818
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-06,820
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-07,818
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-08,818
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-11,809
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2025-12,798
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2026-01,804
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2026-02,802
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI ACEH,UID Aceh,2026-03,800
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2024-12,568
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-01,568
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-02,568
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-03,568
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-04,566
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-05,565
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-06,565
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-07,565
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-08,562
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-11,550
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2025-12,551
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2026-01,549
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2026-02,547
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BALI,UID Bali,2026-03,547
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2024-12,797
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-01,797
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-02,797
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-03,799
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-04,791
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-05,792
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-06,786
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-07,786
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-08,785
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-11,781
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2025-12,778
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2026-01,775
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2026-02,773
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI BANTEN,UID Banten,2026-03,773
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2024-12,1370
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-01,1365
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-02,1370
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-03,1371
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-04,1371
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-05,1369
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-06,1366
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-07,1359
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-08,1359
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-11,1345
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2025-12,1341
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2026-01,1337
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2026-02,1333
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAKARTA RAYA,UID Jakarta Raya,2026-03,1325
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2024-12,2058
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-01,2052
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-02,2048
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-03,2049
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-04,2045
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-05,2042
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-06,2035
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-07,2032
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-08,2027
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-11,2016
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2025-12,2022
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2026-01,2018
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2026-02,2016
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA BARAT,UID Jawa Barat,2026-03,2014
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2024-12,1683
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-01,1680
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-02,1672
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-03,1673
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-04,1674
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-05,1669
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-06,1665
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-07,1658
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-08,1654
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-11,1643
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2025-12,1647
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2026-01,1640
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2026-02,1643
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TENGAH DAN D.I. YOGYAKARTA,UID Jawa Tengah & DIY,2026-03,1654
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2024-12,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-01,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-02,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-03,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-04,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-05,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-06,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-07,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-08,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-11,-
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2025-12,0
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2026-01,4
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2026-02,4
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI YOGYAKARTA,UID Jawa Tengah & DIY,2026-03,4
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2024-12,2135
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-01,2126
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-02,2123
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-03,2126
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-04,2109
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-05,2099
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-06,2090
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-07,2080
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-08,2074
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-11,2055
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2025-12,2054
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2026-01,2045
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2026-02,2044
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI JAWA TIMUR,UID Jawa Timur,2026-03,2046
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2024-12,692
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-01,690
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-02,689
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-03,689
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-04,684
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-05,681
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-06,677
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-07,673
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-08,672
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-11,665
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2025-12,664
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2026-01,676
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2026-02,674
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN BARAT,UID Kalbar,2026-03,670
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2024-12,811
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-01,807
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-02,805
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-03,805
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-04,802
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-05,796
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-06,795
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-07,789
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-08,788
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-11,778
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2025-12,779
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2026-01,781
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2026-02,778
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN SELATAN DAN KALIMANTAN TENGAH,UID Kalselteng,2026-03,778
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2024-12,710
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-01,709
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-02,708
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-03,706
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-04,706
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-05,705
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-06,706
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-07,703
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-08,702
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-11,691
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2025-12,691
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2026-01,690
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2026-02,687
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI KALIMANTAN TIMUR DAN KALIMANTAN UTARA,UID Kaltimra,2026-03,685
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2024-12,555
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-01,556
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-02,555
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-03,556
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-04,555
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-05,551
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-06,550
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-07,550
PT PLN (PERSERO) UNIT INDUK DISTRIBUSI LAMPUNG,UID Lampung,2025-08,549
