unit_induk,kode_cocd,nama_pendek,jenis_unit,jumlah_pegawai,ftk_2024,ftk_2025,realisasi_des_2025,realisasi_mar_2026,realisasi_apr_2026
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN TENGAH,4Q00,UIP Sumatera Bag Tengah,UIP,194,203,203,194,192,
PT PLN (PERSERO) UNIT INDUK PEMBANGUNAN SUMATERA BAGIAN UTARA,4B00,UIP Sumatera Bag Utara,UIP,237,244,244,237,238,
"PT PLN (PERSERO) UNIT INDUK PUSAT PENGATUR BEBAN JAWA, MADURA, DAN BALI",3300,Pusat Pengatur Beban,UIP2B,540,562,553,540,536,
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SUMATERA,3200,P3B Sumatera,UIP3B,1869,1977,1907,1869,1857,
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN KALIMANTAN,2400,UIP3B Kalimantan,UIP3B,577,628,595,577,571,
PT PLN (PERSERO) UNIT INDUK PENYALURAN DAN PUSAT PENGATUR BEBAN SULAWESI,2500,UIP3B Sulawesi,UIP3B,707,755,708,707,705,
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN BARAT,3400,UIT JBB,UIT,1055,1138,1081,1055,1050,
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TENGAH,3500,UIT JBT,UIT,1668,1767,1684,1668,1663,
PT PLN (PERSERO) UNIT INDUK TRANSMISI JAWA BAGIAN TIMUR DAN BALI,3600,UIT JBTB,UIT,1128,1218,1153,1128,1129,
PT PLN (PERSERO) UNIT INDUK WILAYAH BANGKA BELITUNG,6600,UIW Bangka Belitung,UIW,349,370,350,349,344,
PT PLN (PERSERO) UNIT INDUK WILAYAH MALUKU DAN MALUKU UTARA,7500,UIW Maluku&Malut,UIW,798,965,881,798,875,
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA BARAT,7700,UIW NusaTenggara Barat,UIW,849,904,851,849,842,
PT PLN (PERSERO) UNIT INDUK WILAYAH NUSA TENGGARA TIMUR,7800,UIW NusaTenggaraTimur,UIW,857,937,878,857,883,
PT PLN (PERSERO) UNIT INDUK WILAYAH PAPUA DAN PAPUA BARAT,7600,UIW Papua&Papua Barat,UIW,1048,1168,1081,1048,1038,
